날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6560.0,하락  540,6710.0,6900.0,5820.0,182943.0,경보제약,214390
2020-03-16,6240.0,하락  320,6430.0,6750.0,6200.0,98858.0,경보제약,214390
2020-03-17,6170.0,하락  70,5680.0,6280.0,5680.0,87585.0,경보제약,214390
2020-03-18,6000.0,하락  170,6220.0,6490.0,5810.0,114720.0,경보제약,214390
2020-03-19,4670.0,"하락  1,330",5920.0,6100.0,4580.0,207586.0,경보제약,214390
2020-03-20,5090.0,상승  420,4670.0,5160.0,4670.0,161718.0,경보제약,214390
2020-03-23,4810.0,하락  280,4705.0,5090.0,4700.0,83171.0,경보제약,214390
2020-03-24,5270.0,상승  460,5000.0,5380.0,4880.0,113066.0,경보제약,214390
2020-03-25,5550.0,상승  280,5400.0,5640.0,5380.0,124881.0,경보제약,214390
2020-03-26,5770.0,상승  220,5580.0,5910.0,5550.0,135669.0,경보제약,214390
2020-03-27,5990.0,상승  220,6100.0,6480.0,5640.0,302824.0,경보제약,214390
2020-03-30,6300.0,상승  310,5990.0,6320.0,5780.0,110458.0,경보제약,214390
2020-03-31,6680.0,상승  380,6530.0,6720.0,6300.0,141102.0,경보제약,214390
2020-04-01,6640.0,하락  40,6850.0,7100.0,6580.0,149304.0,경보제약,214390
2020-04-02,6600.0,하락  40,6520.0,6740.0,6330.0,71657.0,경보제약,214390
2020-04-03,6860.0,상승  260,6600.0,6970.0,6600.0,81306.0,경보제약,214390
2020-04-06,7180.0,상승  320,6890.0,7280.0,6890.0,114243.0,경보제약,214390
2020-04-07,7270.0,상승  90,7340.0,7360.0,7000.0,112807.0,경보제약,214390
2020-04-08,7300.0,상승  30,7210.0,7380.0,7090.0,53532.0,경보제약,214390
2020-04-09,7750.0,상승  450,7330.0,7950.0,7280.0,260409.0,경보제약,214390
2020-04-10,7750.0,보합0,7800.0,7810.0,7500.0,131430.0,경보제약,214390
2020-04-13,7580.0,하락  170,7700.0,7780.0,7440.0,49975.0,경보제약,214390
2020-04-14,7690.0,상승  110,7550.0,7780.0,7550.0,45139.0,경보제약,214390
2020-04-16,7590.0,하락  100,7690.0,7690.0,7440.0,24445.0,경보제약,214390
2020-04-17,7600.0,상승  10,7610.0,7850.0,7520.0,49920.0,경보제약,214390
2020-04-20,7660.0,상승  60,7610.0,7800.0,7600.0,36641.0,경보제약,214390
2020-04-21,7440.0,하락  220,7660.0,7680.0,7320.0,78421.0,경보제약,214390
2020-04-22,7440.0,보합0,7430.0,7450.0,7300.0,33943.0,경보제약,214390
2020-04-23,7700.0,상승  260,7460.0,7800.0,7410.0,47572.0,경보제약,214390
2020-04-24,7570.0,하락  130,7700.0,7730.0,7440.0,42943.0,경보제약,214390
2020-04-27,7700.0,상승  130,7580.0,7730.0,7570.0,38914.0,경보제약,214390
2020-04-28,7700.0,보합0,7720.0,7740.0,7630.0,31897.0,경보제약,214390
2020-04-29,7710.0,상승  10,7640.0,7790.0,7600.0,37736.0,경보제약,214390
2020-05-04,7630.0,하락  80,7720.0,7750.0,7520.0,28257.0,경보제약,214390
2020-05-06,7870.0,상승  240,7700.0,7880.0,7670.0,65702.0,경보제약,214390
2020-05-07,7900.0,상승  30,7910.0,7940.0,7760.0,30779.0,경보제약,214390
2020-05-08,8100.0,상승  200,7960.0,8150.0,7840.0,60678.0,경보제약,214390
2020-05-11,7960.0,하락  140,8150.0,8300.0,7940.0,25286.0,경보제약,214390
2020-05-12,7820.0,하락  140,7960.0,8030.0,7740.0,32602.0,경보제약,214390
2020-05-13,7860.0,상승  40,7770.0,7880.0,7770.0,17508.0,경보제약,214390
2020-05-14,7890.0,상승  30,7810.0,7950.0,7800.0,30596.0,경보제약,214390
2020-05-15,8320.0,상승  430,7950.0,8740.0,7880.0,371038.0,경보제약,214390
2020-05-18,8290.0,하락  30,8300.0,8640.0,8150.0,138052.0,경보제약,214390
2020-05-19,8160.0,하락  130,8450.0,8520.0,8030.0,114725.0,경보제약,214390
2020-05-20,8200.0,상승  40,8160.0,8270.0,8070.0,32559.0,경보제약,214390
2020-05-21,8140.0,하락  60,8170.0,8260.0,8070.0,35476.0,경보제약,214390
2020-05-22,8090.0,하락  50,8140.0,8200.0,8000.0,28516.0,경보제약,214390
2020-05-25,8050.0,하락  40,8090.0,8160.0,8010.0,37433.0,경보제약,214390
2020-05-26,8170.0,상승  120,8050.0,8240.0,8020.0,53862.0,경보제약,214390
2020-05-27,8140.0,하락  30,8180.0,8190.0,8040.0,35801.0,경보제약,214390
2020-05-28,8040.0,하락  100,8140.0,8160.0,7900.0,52657.0,경보제약,214390
2020-05-29,8040.0,보합0,8040.0,8110.0,7920.0,25515.0,경보제약,214390
2020-06-01,8070.0,상승  30,8040.0,8170.0,8020.0,35753.0,경보제약,214390
2020-06-02,8170.0,상승  100,8060.0,8170.0,8060.0,48869.0,경보제약,214390
2020-06-03,8070.0,하락  100,8170.0,8240.0,8050.0,62164.0,경보제약,214390
2020-06-04,8120.0,상승  50,8140.0,8150.0,8070.0,20238.0,경보제약,214390
2020-06-05,8150.0,상승  30,8120.0,8250.0,8080.0,49344.0,경보제약,214390
2020-06-08,8920.0,상승  770,8190.0,9690.0,8190.0,1580960.0,경보제약,214390
2020-06-09,9050.0,상승  130,8890.0,9170.0,8680.0,308271.0,경보제약,214390
2020-06-10,9420.0,상승  370,8980.0,9720.0,8890.0,569950.0,경보제약,214390
2020-06-11,9210.0,하락  210,9420.0,9620.0,9100.0,224267.0,경보제약,214390
2020-06-12,9250.0,상승  40,8720.0,9260.0,8700.0,139821.0,경보제약,214390
2020-06-15,8880.0,하락  370,9220.0,9790.0,8880.0,267271.0,경보제약,214390
2020-06-16,9250.0,상승  370,8990.0,9400.0,8990.0,134307.0,경보제약,214390
2020-06-17,9500.0,상승  250,9270.0,9590.0,9000.0,278422.0,경보제약,214390
2020-06-18,9610.0,상승  110,10400.0,10600.0,9550.0,788540.0,경보제약,214390
2020-06-19,9270.0,하락  340,9700.0,9700.0,9240.0,144065.0,경보제약,214390
2020-06-22,9200.0,하락  70,9200.0,9380.0,9160.0,84781.0,경보제약,214390
2020-06-23,9110.0,하락  90,9250.0,9320.0,8930.0,103145.0,경보제약,214390
2020-06-24,9200.0,상승  90,9110.0,9360.0,9080.0,105857.0,경보제약,214390
2020-06-25,9150.0,하락  50,9110.0,9280.0,9080.0,44350.0,경보제약,214390
2020-06-26,9370.0,상승  220,9150.0,9420.0,9150.0,68935.0,경보제약,214390
2020-06-29,9200.0,하락  170,9370.0,9420.0,9110.0,46662.0,경보제약,214390
2020-06-30,9090.0,하락  110,9200.0,9310.0,8950.0,59049.0,경보제약,214390
2020-07-01,8760.0,하락  330,9190.0,9190.0,8710.0,64197.0,경보제약,214390
2020-07-02,8670.0,하락  90,8760.0,8850.0,8570.0,79376.0,경보제약,214390
2020-07-03,8710.0,상승  40,8650.0,8740.0,8600.0,31579.0,경보제약,214390
2020-07-06,8750.0,상승  40,8820.0,8820.0,8640.0,45266.0,경보제약,214390
2020-07-07,8670.0,하락  80,8730.0,8840.0,8650.0,30401.0,경보제약,214390
2020-07-08,8720.0,상승  50,8670.0,8790.0,8660.0,31553.0,경보제약,214390
2020-07-09,8720.0,보합0,8810.0,8810.0,8650.0,38976.0,경보제약,214390
2020-07-10,8950.0,상승  230,8750.0,9030.0,8640.0,86818.0,경보제약,214390
2020-07-13,8970.0,상승  20,9090.0,9090.0,8840.0,43816.0,경보제약,214390
2020-07-14,9310.0,상승  340,9040.0,9360.0,8860.0,154153.0,경보제약,214390
2020-07-15,9190.0,하락  120,9320.0,9390.0,9140.0,37993.0,경보제약,214390
2020-07-16,8940.0,하락  250,9160.0,9200.0,8940.0,61956.0,경보제약,214390
2020-07-17,8880.0,하락  60,8940.0,9060.0,8810.0,37487.0,경보제약,214390
2020-07-20,9060.0,상승  180,8900.0,9160.0,8890.0,71227.0,경보제약,214390
2020-07-21,9330.0,상승  270,9190.0,9730.0,9110.0,307752.0,경보제약,214390
2020-07-22,9660.0,상승  330,9430.0,9680.0,9300.0,169900.0,경보제약,214390
2020-07-23,10950.0,"상승  1,290",9820.0,11900.0,9700.0,3667637.0,경보제약,214390
2020-07-24,11250.0,상승  300,10900.0,13450.0,10800.0,4607981.0,경보제약,214390
2020-07-27,10400.0,하락  850,11200.0,11850.0,10200.0,912476.0,경보제약,214390
2020-07-28,10750.0,상승  350,10500.0,10750.0,10050.0,400938.0,경보제약,214390
2020-07-29,10400.0,하락  350,10450.0,10750.0,10300.0,226485.0,경보제약,214390
2020-07-30,10200.0,하락  200,10500.0,10550.0,10000.0,202680.0,경보제약,214390
2020-07-31,10450.0,상승  250,10100.0,10650.0,10050.0,268006.0,경보제약,214390
2020-08-03,10450.0,보합0,10450.0,10550.0,10150.0,169961.0,경보제약,214390
2020-08-04,11800.0,"상승  1,350",10400.0,12400.0,10400.0,3038819.0,경보제약,214390
2020-08-05,12300.0,상승  500,11900.0,14250.0,11850.0,6174916.0,경보제약,214390
2020-08-06,12350.0,상승  50,12600.0,13250.0,12200.0,1297236.0,경보제약,214390
2020-08-07,11900.0,하락  450,12400.0,12650.0,11900.0,379823.0,경보제약,214390
2020-08-10,12300.0,상승  400,11900.0,12400.0,11650.0,278116.0,경보제약,214390
2020-08-11,12150.0,하락  150,12150.0,12650.0,11900.0,655543.0,경보제약,214390
2020-08-12,11400.0,하락  750,12050.0,12050.0,11350.0,315788.0,경보제약,214390
2020-08-13,11300.0,하락  100,11600.0,11600.0,11300.0,178309.0,경보제약,214390
2020-08-14,11050.0,하락  250,11300.0,11500.0,10900.0,191118.0,경보제약,214390
2020-08-18,10750.0,하락  300,11300.0,11850.0,10550.0,412111.0,경보제약,214390
2020-08-19,11250.0,상승  500,10800.0,11300.0,10800.0,168858.0,경보제약,214390
2020-08-20,11200.0,하락  50,11500.0,11900.0,10800.0,372691.0,경보제약,214390
2020-08-21,10800.0,하락  400,11300.0,11300.0,10550.0,205796.0,경보제약,214390
2020-08-24,10700.0,하락  100,10800.0,11050.0,10450.0,112196.0,경보제약,214390
2020-08-25,11400.0,상승  700,10850.0,11550.0,10750.0,246437.0,경보제약,214390
2020-08-26,11900.0,상승  500,11550.0,12150.0,11250.0,703806.0,경보제약,214390
2020-08-27,11300.0,하락  600,11850.0,11900.0,11200.0,190351.0,경보제약,214390
2020-08-28,11500.0,상승  200,11400.0,11900.0,11350.0,152499.0,경보제약,214390
2020-08-31,11750.0,상승  250,11550.0,12100.0,11450.0,290764.0,경보제약,214390
2020-09-01,11800.0,상승  50,11750.0,11850.0,11450.0,157116.0,경보제약,214390
2020-09-02,12000.0,상승  200,12000.0,12050.0,11600.0,265922.0,경보제약,214390
2020-09-03,12400.0,상승  400,12000.0,12600.0,12000.0,599728.0,경보제약,214390
2020-09-04,12100.0,하락  300,11700.0,12250.0,11650.0,368314.0,경보제약,214390
2020-09-07,12150.0,상승  50,12250.0,12250.0,11950.0,245527.0,경보제약,214390
2020-09-08,13200.0,"상승  1,050",12200.0,13200.0,12150.0,1631392.0,경보제약,214390
2020-09-09,12000.0,"하락  1,200",12750.0,13150.0,11800.0,807042.0,경보제약,214390
2020-09-10,12100.0,상승  100,12250.0,12250.0,11750.0,334332.0,경보제약,214390
2020-09-11,12800.0,상승  700,12550.0,14100.0,12400.0,4049572.0,경보제약,214390
2020-09-14,12850.0,상승  50,12950.0,13100.0,12550.0,560704.0,경보제약,214390
2020-09-15,12400.0,하락  450,12800.0,12950.0,12400.0,325540.0,경보제약,214390
2020-09-16,12150.0,하락  250,12400.0,12600.0,12000.0,248979.0,경보제약,214390
2020-09-17,11750.0,하락  400,12150.0,12200.0,11750.0,149978.0,경보제약,214390
2020-09-18,11650.0,하락  100,11750.0,11900.0,11500.0,200592.0,경보제약,214390
2020-09-21,11250.0,하락  400,11700.0,11900.0,11100.0,147633.0,경보제약,214390
2020-09-22,10550.0,하락  700,11100.0,11150.0,10400.0,313814.0,경보제약,214390
2020-09-23,10450.0,하락  100,10700.0,10800.0,10050.0,146808.0,경보제약,214390
2020-09-24,10150.0,하락  300,10150.0,10800.0,10100.0,129848.0,경보제약,214390
2020-09-25,10250.0,상승  100,10250.0,10350.0,10000.0,151080.0,경보제약,214390
2020-09-28,10600.0,상승  350,10350.0,10750.0,10300.0,83366.0,경보제약,214390
2020-09-29,10600.0,보합0,10650.0,10800.0,10450.0,85810.0,경보제약,214390
2020-10-05,10750.0,상승  150,10650.0,10950.0,10600.0,65287.0,경보제약,214390
2020-10-06,10900.0,상승  150,10850.0,11150.0,10800.0,85237.0,경보제약,214390
2020-10-07,10950.0,상승  50,10800.0,11150.0,10800.0,69543.0,경보제약,214390
2020-10-08,11150.0,상승  200,11050.0,12150.0,10950.0,747823.0,경보제약,214390
2020-10-12,11650.0,상승  500,11350.0,11850.0,11200.0,347919.0,경보제약,214390
2020-10-13,11350.0,하락  300,11650.0,11800.0,11250.0,105406.0,경보제약,214390
2020-10-14,11150.0,하락  200,11350.0,11650.0,11100.0,86148.0,경보제약,214390
2020-10-15,10700.0,하락  450,11200.0,11250.0,10550.0,140068.0,경보제약,214390
2020-10-16,10350.0,하락  350,10700.0,10850.0,10150.0,114655.0,경보제약,214390
2020-10-19,10300.0,하락  50,10350.0,10850.0,10150.0,82903.0,경보제약,214390
2020-10-20,10250.0,하락  50,10300.0,10400.0,9990.0,96127.0,경보제약,214390
2020-10-21,10350.0,상승  100,10300.0,10500.0,10150.0,35348.0,경보제약,214390
2020-10-22,10000.0,하락  350,10300.0,10400.0,10000.0,54933.0,경보제약,214390
2020-10-23,10050.0,상승  50,10100.0,10200.0,9930.0,54510.0,경보제약,214390
2020-10-26,9520.0,하락  530,10050.0,10100.0,9520.0,109122.0,경보제약,214390
2020-10-27,9400.0,하락  120,9480.0,9660.0,9310.0,49275.0,경보제약,214390
2020-10-28,9590.0,상승  190,9360.0,9660.0,9360.0,55238.0,경보제약,214390
2020-10-29,9630.0,상승  40,9080.0,9650.0,9080.0,54617.0,경보제약,214390
2020-10-30,9520.0,하락  110,9630.0,9820.0,9460.0,48167.0,경보제약,214390
2020-11-02,9640.0,상승  120,9600.0,9730.0,9520.0,23675.0,경보제약,214390
2020-11-03,9890.0,상승  250,9640.0,9940.0,9630.0,54398.0,경보제약,214390
2020-11-04,9820.0,하락  70,9950.0,9970.0,9750.0,26361.0,경보제약,214390
2020-11-05,10050.0,상승  230,9830.0,10100.0,9820.0,54638.0,경보제약,214390
2020-11-06,10000.0,하락  50,10100.0,10150.0,9940.0,50445.0,경보제약,214390
2020-11-09,10050.0,상승  50,10050.0,10250.0,9970.0,43114.0,경보제약,214390
2020-11-10,9910.0,하락  140,10150.0,10200.0,9900.0,68983.0,경보제약,214390
2020-11-11,9960.0,상승  50,9910.0,10100.0,9750.0,77910.0,경보제약,214390
2020-11-12,10300.0,상승  340,10100.0,10400.0,9990.0,90768.0,경보제약,214390
2020-11-13,10300.0,보합0,10250.0,10350.0,10050.0,58310.0,경보제약,214390
2020-11-16,10200.0,하락  100,10400.0,10400.0,10100.0,60262.0,경보제약,214390
2020-11-17,10050.0,하락  150,10250.0,10250.0,9900.0,89572.0,경보제약,214390
2020-11-18,10150.0,상승  100,10050.0,10250.0,9990.0,63669.0,경보제약,214390
2020-11-19,10450.0,상승  300,10150.0,10450.0,10100.0,107253.0,경보제약,214390
2020-11-20,11450.0,"상승  1,000",10500.0,13550.0,10400.0,7551729.0,경보제약,214390
2020-11-23,10950.0,하락  500,11500.0,11600.0,10950.0,915036.0,경보제약,214390
2020-11-24,11200.0,상승  250,11050.0,11850.0,10950.0,1256154.0,경보제약,214390
2020-11-25,10900.0,하락  300,11200.0,11600.0,10850.0,490134.0,경보제약,214390
2020-11-26,11250.0,상승  350,10850.0,11550.0,10800.0,470329.0,경보제약,214390
2020-11-27,11200.0,하락  50,11250.0,11350.0,11050.0,211318.0,경보제약,214390
2020-11-30,11500.0,상승  300,11700.0,12100.0,11350.0,1288706.0,경보제약,214390
2020-12-01,14950.0,"상한가  3,450",11500.0,14950.0,11150.0,8159539.0,경보제약,214390
2020-12-02,15650.0,상승  700,15900.0,17950.0,14750.0,24253522.0,경보제약,214390
2020-12-03,15650.0,보합0,15600.0,16500.0,15200.0,4355170.0,경보제약,214390
2020-12-04,16250.0,상승  600,16850.0,19050.0,15900.0,13742361.0,경보제약,214390
2020-12-07,17150.0,상승  900,16600.0,17200.0,16450.0,971107.0,경보제약,214390
2020-12-08,16200.0,하락  950,17200.0,17200.0,16200.0,488713.0,경보제약,214390
2020-12-09,16600.0,상승  400,16350.0,16850.0,16350.0,467946.0,경보제약,214390
