날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6810.0,하락  380,6620.0,6980.0,6560.0,502019.0,신한알파리츠,293940
2020-03-16,6670.0,하락  140,6850.0,6930.0,6410.0,221952.0,신한알파리츠,293940
2020-03-17,6800.0,상승  130,6500.0,6800.0,6200.0,221339.0,신한알파리츠,293940
2020-03-18,6800.0,보합0,6720.0,6900.0,6700.0,198950.0,신한알파리츠,293940
2020-03-19,6230.0,하락  570,6690.0,6800.0,5950.0,375962.0,신한알파리츠,293940
2020-03-20,6200.0,하락  30,6250.0,6380.0,5960.0,312064.0,신한알파리츠,293940
2020-03-23,5920.0,하락  280,6030.0,6030.0,5610.0,210640.0,신한알파리츠,293940
2020-03-24,6080.0,상승  160,6000.0,6100.0,5780.0,211201.0,신한알파리츠,293940
2020-03-25,6380.0,상승  300,6290.0,6410.0,6020.0,304457.0,신한알파리츠,293940
2020-03-26,6480.0,상승  100,6380.0,6540.0,6210.0,265868.0,신한알파리츠,293940
2020-03-27,6830.0,상승  350,6580.0,6870.0,6550.0,380326.0,신한알파리츠,293940
2020-03-30,6820.0,하락  10,6790.0,6820.0,6300.0,175957.0,신한알파리츠,293940
2020-03-31,6830.0,상승  10,6940.0,6940.0,6760.0,111612.0,신한알파리츠,293940
2020-04-01,6780.0,하락  50,6780.0,6780.0,6600.0,211637.0,신한알파리츠,293940
2020-04-02,6750.0,하락  30,6780.0,6780.0,6610.0,61037.0,신한알파리츠,293940
2020-04-03,6750.0,보합0,6690.0,6760.0,6600.0,92081.0,신한알파리츠,293940
2020-04-06,6760.0,상승  10,6740.0,6780.0,6640.0,100967.0,신한알파리츠,293940
2020-04-07,6790.0,상승  30,7080.0,7080.0,6710.0,107943.0,신한알파리츠,293940
2020-04-08,6630.0,하락  120,6630.0,6700.0,6570.0,165437.0,신한알파리츠,293940
2020-04-09,6660.0,상승  30,6650.0,6670.0,6600.0,66399.0,신한알파리츠,293940
2020-04-10,6670.0,상승  10,6660.0,6720.0,6520.0,94069.0,신한알파리츠,293940
2020-04-13,6640.0,하락  30,6700.0,6700.0,6590.0,94526.0,신한알파리츠,293940
2020-04-14,6590.0,하락  50,6680.0,6680.0,6510.0,94298.0,신한알파리츠,293940
2020-04-16,6590.0,보합0,6650.0,6650.0,6500.0,42448.0,신한알파리츠,293940
2020-04-17,6650.0,상승  60,6630.0,6660.0,6550.0,129989.0,신한알파리츠,293940
2020-04-20,6660.0,상승  10,6700.0,6700.0,6600.0,84499.0,신한알파리츠,293940
2020-04-21,6520.0,하락  140,6640.0,6640.0,6410.0,122377.0,신한알파리츠,293940
2020-04-22,6400.0,하락  120,6480.0,6510.0,6300.0,198479.0,신한알파리츠,293940
2020-04-23,6380.0,하락  20,6450.0,6450.0,6300.0,114412.0,신한알파리츠,293940
2020-04-24,6310.0,하락  70,6380.0,6380.0,6300.0,66393.0,신한알파리츠,293940
2020-04-27,6350.0,상승  40,6380.0,6380.0,6300.0,69185.0,신한알파리츠,293940
2020-04-28,6370.0,상승  20,6380.0,6410.0,6320.0,87228.0,신한알파리츠,293940
2020-04-29,6570.0,상승  200,6370.0,6570.0,6350.0,103099.0,신한알파리츠,293940
2020-05-04,6400.0,하락  170,6570.0,6570.0,6350.0,84783.0,신한알파리츠,293940
2020-05-06,6430.0,상승  30,6410.0,6490.0,6340.0,81237.0,신한알파리츠,293940
2020-05-07,6360.0,하락  70,6460.0,6460.0,6310.0,186604.0,신한알파리츠,293940
2020-05-08,6330.0,하락  30,6370.0,6390.0,6290.0,226840.0,신한알파리츠,293940
2020-05-11,6350.0,상승  20,6340.0,6420.0,6290.0,110125.0,신한알파리츠,293940
2020-05-12,6280.0,하락  70,6400.0,6400.0,6240.0,139534.0,신한알파리츠,293940
2020-05-13,6250.0,하락  30,6250.0,6290.0,6200.0,147802.0,신한알파리츠,293940
2020-05-14,6120.0,하락  130,6180.0,6300.0,6090.0,256885.0,신한알파리츠,293940
2020-05-15,6210.0,상승  90,6120.0,6260.0,6120.0,102404.0,신한알파리츠,293940
2020-05-18,6300.0,상승  90,6240.0,6350.0,6200.0,141090.0,신한알파리츠,293940
2020-05-19,6510.0,상승  210,6340.0,6590.0,6320.0,264133.0,신한알파리츠,293940
2020-05-20,6520.0,상승  10,6520.0,6540.0,6420.0,174231.0,신한알파리츠,293940
2020-05-21,6720.0,상승  200,6610.0,6830.0,6610.0,408682.0,신한알파리츠,293940
2020-05-22,6930.0,상승  210,6730.0,6990.0,6730.0,330205.0,신한알파리츠,293940
2020-05-25,6930.0,보합0,6960.0,6990.0,6820.0,152105.0,신한알파리츠,293940
2020-05-26,7040.0,상승  110,6930.0,7110.0,6930.0,242641.0,신한알파리츠,293940
2020-05-27,7070.0,상승  30,7130.0,7130.0,6990.0,149861.0,신한알파리츠,293940
2020-05-28,7010.0,하락  60,7100.0,7130.0,6940.0,182656.0,신한알파리츠,293940
2020-05-29,7070.0,상승  60,7070.0,7080.0,6950.0,78947.0,신한알파리츠,293940
2020-06-01,7000.0,하락  70,7080.0,7090.0,6980.0,103260.0,신한알파리츠,293940
2020-06-02,7010.0,상승  10,6950.0,7050.0,6950.0,133197.0,신한알파리츠,293940
2020-06-03,6940.0,하락  70,7020.0,7060.0,6890.0,192946.0,신한알파리츠,293940
2020-06-04,6860.0,하락  80,6940.0,7070.0,6830.0,194081.0,신한알파리츠,293940
2020-06-05,6820.0,하락  40,6790.0,7270.0,6720.0,363713.0,신한알파리츠,293940
2020-06-08,6810.0,하락  10,6950.0,6950.0,6780.0,164342.0,신한알파리츠,293940
2020-06-09,6870.0,상승  60,6850.0,6940.0,6800.0,223996.0,신한알파리츠,293940
2020-06-10,6970.0,상승  100,6870.0,6970.0,6840.0,177389.0,신한알파리츠,293940
2020-06-11,6890.0,하락  80,7000.0,7000.0,6860.0,193304.0,신한알파리츠,293940
2020-06-12,6750.0,하락  140,6740.0,6820.0,6660.0,186867.0,신한알파리츠,293940
2020-06-15,6650.0,하락  100,6810.0,6810.0,6580.0,165424.0,신한알파리츠,293940
2020-06-16,6730.0,상승  80,6750.0,6760.0,6680.0,97462.0,신한알파리츠,293940
2020-06-17,6740.0,상승  10,6790.0,6790.0,6700.0,99979.0,신한알파리츠,293940
2020-06-18,6770.0,상승  30,6730.0,6770.0,6680.0,85235.0,신한알파리츠,293940
2020-06-19,6700.0,하락  70,6770.0,6790.0,6670.0,78148.0,신한알파리츠,293940
2020-06-22,6660.0,하락  40,6740.0,6740.0,6650.0,83616.0,신한알파리츠,293940
2020-06-23,6640.0,하락  20,6670.0,6700.0,6620.0,92340.0,신한알파리츠,293940
2020-06-24,6640.0,보합0,6640.0,6660.0,6580.0,64234.0,신한알파리츠,293940
2020-06-25,6640.0,보합0,6640.0,6640.0,6550.0,104006.0,신한알파리츠,293940
2020-06-26,6750.0,상승  110,6640.0,6870.0,6640.0,85323.0,신한알파리츠,293940
2020-06-29,6700.0,하락  50,6680.0,6700.0,6600.0,100708.0,신한알파리츠,293940
2020-06-30,6700.0,보합0,6650.0,6760.0,6650.0,109767.0,신한알파리츠,293940
2020-07-01,6700.0,보합0,6770.0,6770.0,6620.0,63603.0,신한알파리츠,293940
2020-07-02,6670.0,하락  30,6650.0,6700.0,6630.0,67843.0,신한알파리츠,293940
2020-07-03,6600.0,하락  70,6670.0,6680.0,6600.0,89017.0,신한알파리츠,293940
2020-07-06,6590.0,하락  10,6610.0,6610.0,6510.0,150736.0,신한알파리츠,293940
2020-07-07,6510.0,하락  80,6590.0,6590.0,6500.0,103074.0,신한알파리츠,293940
2020-07-08,6420.0,하락  90,6600.0,6600.0,6390.0,195489.0,신한알파리츠,293940
2020-07-09,6540.0,상승  120,6420.0,6580.0,6420.0,82870.0,신한알파리츠,293940
2020-07-10,6530.0,하락  10,6540.0,6550.0,6460.0,81061.0,신한알파리츠,293940
2020-07-13,6540.0,상승  10,6540.0,6620.0,6430.0,129700.0,신한알파리츠,293940
2020-07-14,6520.0,하락  20,6570.0,6570.0,6470.0,43912.0,신한알파리츠,293940
2020-07-15,6480.0,하락  40,6530.0,6550.0,6470.0,72753.0,신한알파리츠,293940
2020-07-16,6490.0,상승  10,6490.0,6520.0,6400.0,88581.0,신한알파리츠,293940
2020-07-17,6480.0,하락  10,6450.0,6520.0,6420.0,84209.0,신한알파리츠,293940
2020-07-20,6570.0,상승  90,6450.0,6580.0,6440.0,167498.0,신한알파리츠,293940
2020-07-21,6570.0,보합0,6590.0,6610.0,6520.0,107463.0,신한알파리츠,293940
2020-07-22,6580.0,상승  10,6540.0,6720.0,6500.0,78365.0,신한알파리츠,293940
2020-07-23,6530.0,하락  50,6590.0,6590.0,6500.0,77236.0,신한알파리츠,293940
2020-07-24,6530.0,보합0,6530.0,6540.0,6450.0,107895.0,신한알파리츠,293940
2020-07-27,6480.0,하락  50,6530.0,6560.0,6400.0,168001.0,신한알파리츠,293940
2020-07-28,6500.0,상승  20,6480.0,6530.0,6460.0,83348.0,신한알파리츠,293940
2020-07-29,6510.0,상승  10,6500.0,6600.0,6480.0,73930.0,신한알파리츠,293940
2020-07-30,6500.0,하락  10,6500.0,6560.0,6500.0,60421.0,신한알파리츠,293940
2020-07-31,6510.0,상승  10,6520.0,6540.0,6490.0,69964.0,신한알파리츠,293940
2020-08-03,6510.0,보합0,6550.0,6550.0,6500.0,83775.0,신한알파리츠,293940
2020-08-04,6510.0,보합0,6520.0,6580.0,6500.0,111747.0,신한알파리츠,293940
2020-08-05,6530.0,상승  20,6520.0,6570.0,6490.0,124411.0,신한알파리츠,293940
2020-08-06,6500.0,하락  30,6530.0,6530.0,6500.0,70682.0,신한알파리츠,293940
2020-08-07,6490.0,하락  10,6500.0,6550.0,6460.0,147290.0,신한알파리츠,293940
2020-08-10,6500.0,상승  10,6500.0,6530.0,6480.0,108439.0,신한알파리츠,293940
2020-08-11,6490.0,하락  10,6510.0,6530.0,6480.0,162377.0,신한알파리츠,293940
2020-08-12,6630.0,상승  140,6500.0,6650.0,6490.0,191119.0,신한알파리츠,293940
2020-08-13,6620.0,하락  10,6640.0,6700.0,6540.0,120973.0,신한알파리츠,293940
2020-08-14,6610.0,하락  10,6620.0,6620.0,6530.0,94418.0,신한알파리츠,293940
2020-08-18,6490.0,하락  120,6620.0,6620.0,6420.0,203380.0,신한알파리츠,293940
2020-08-19,6550.0,상승  60,6500.0,6600.0,6500.0,92742.0,신한알파리츠,293940
2020-08-20,6480.0,하락  70,6570.0,6570.0,6420.0,99363.0,신한알파리츠,293940
2020-08-21,6530.0,상승  50,6500.0,6540.0,6480.0,79904.0,신한알파리츠,293940
2020-08-24,6570.0,상승  40,6540.0,6590.0,6480.0,72400.0,신한알파리츠,293940
2020-08-25,6660.0,상승  90,6580.0,6690.0,6580.0,102853.0,신한알파리츠,293940
2020-08-26,6660.0,보합0,6700.0,6700.0,6640.0,51048.0,신한알파리츠,293940
2020-08-27,6640.0,하락  20,6660.0,6700.0,6630.0,70225.0,신한알파리츠,293940
2020-08-28,6620.0,하락  20,6650.0,6680.0,6580.0,54417.0,신한알파리츠,293940
2020-08-31,6610.0,하락  10,6640.0,6680.0,6610.0,100002.0,신한알파리츠,293940
2020-09-01,6610.0,보합0,6690.0,6690.0,6610.0,57571.0,신한알파리츠,293940
2020-09-02,6610.0,보합0,6670.0,6670.0,6580.0,42954.0,신한알파리츠,293940
2020-09-03,6650.0,상승  40,6610.0,6660.0,6610.0,64056.0,신한알파리츠,293940
2020-09-04,6650.0,보합0,6540.0,6680.0,6540.0,93620.0,신한알파리츠,293940
2020-09-07,6690.0,상승  40,6630.0,6720.0,6620.0,78169.0,신한알파리츠,293940
2020-09-08,6730.0,상승  40,6690.0,6830.0,6690.0,166128.0,신한알파리츠,293940
2020-09-09,6720.0,하락  10,6620.0,6780.0,6620.0,106635.0,신한알파리츠,293940
2020-09-10,6780.0,상승  60,6800.0,6800.0,6720.0,89087.0,신한알파리츠,293940
2020-09-11,6810.0,상승  30,6930.0,6930.0,6750.0,70688.0,신한알파리츠,293940
2020-09-14,6850.0,상승  40,6880.0,6910.0,6800.0,107647.0,신한알파리츠,293940
2020-09-15,6850.0,보합0,6890.0,6890.0,6800.0,101791.0,신한알파리츠,293940
2020-09-16,6840.0,하락  10,6890.0,6890.0,6820.0,69471.0,신한알파리츠,293940
2020-09-17,6820.0,하락  20,6840.0,6850.0,6810.0,42256.0,신한알파리츠,293940
2020-09-18,6810.0,하락  10,6830.0,6880.0,6800.0,70749.0,신한알파리츠,293940
2020-09-21,6790.0,하락  20,6810.0,6890.0,6790.0,67794.0,신한알파리츠,293940
2020-09-22,6760.0,하락  30,6790.0,6830.0,6730.0,66342.0,신한알파리츠,293940
2020-09-23,6760.0,보합0,6780.0,6800.0,6720.0,84217.0,신한알파리츠,293940
2020-09-24,6770.0,상승  10,6790.0,6820.0,6750.0,113643.0,신한알파리츠,293940
2020-09-25,6780.0,상승  10,6770.0,6820.0,6720.0,152532.0,신한알파리츠,293940
2020-09-28,6730.0,하락  50,6750.0,6750.0,6600.0,129260.0,신한알파리츠,293940
2020-09-29,6870.0,상승  140,6750.0,6870.0,6730.0,107136.0,신한알파리츠,293940
2020-10-05,6800.0,하락  70,6750.0,6840.0,6750.0,81371.0,신한알파리츠,293940
2020-10-06,6770.0,하락  30,6800.0,6810.0,6740.0,50103.0,신한알파리츠,293940
2020-10-07,6790.0,상승  20,6780.0,6790.0,6710.0,113912.0,신한알파리츠,293940
2020-10-08,6800.0,상승  10,6800.0,6800.0,6760.0,82797.0,신한알파리츠,293940
2020-10-12,6780.0,하락  20,6800.0,6830.0,6750.0,44941.0,신한알파리츠,293940
2020-10-13,6760.0,하락  20,6790.0,6790.0,6740.0,83180.0,신한알파리츠,293940
2020-10-14,6760.0,보합0,6750.0,6800.0,6740.0,78559.0,신한알파리츠,293940
2020-10-15,6800.0,상승  40,6760.0,6800.0,6750.0,107837.0,신한알파리츠,293940
2020-10-16,6820.0,상승  20,6770.0,6820.0,6760.0,108630.0,신한알파리츠,293940
2020-10-19,6860.0,상승  40,6820.0,6890.0,6770.0,109519.0,신한알파리츠,293940
2020-10-20,6910.0,상승  50,6860.0,6920.0,6850.0,103349.0,신한알파리츠,293940
2020-10-21,7050.0,상승  140,6930.0,7060.0,6910.0,112763.0,신한알파리츠,293940
2020-10-22,7090.0,상승  40,7060.0,7110.0,7030.0,137908.0,신한알파리츠,293940
2020-10-23,7170.0,상승  80,7120.0,7180.0,7080.0,156168.0,신한알파리츠,293940
2020-10-26,7180.0,상승  10,7270.0,7270.0,7140.0,107189.0,신한알파리츠,293940
2020-10-27,7120.0,하락  60,7180.0,7230.0,6800.0,131287.0,신한알파리츠,293940
2020-10-28,7100.0,하락  20,7150.0,7150.0,7020.0,57986.0,신한알파리츠,293940
2020-10-29,7080.0,하락  20,7000.0,7120.0,7000.0,82411.0,신한알파리츠,293940
2020-10-30,7170.0,상승  90,7080.0,7190.0,7080.0,152277.0,신한알파리츠,293940
2020-11-02,7120.0,하락  50,7150.0,7190.0,7100.0,104941.0,신한알파리츠,293940
2020-11-03,7140.0,상승  20,7140.0,7190.0,7110.0,63763.0,신한알파리츠,293940
2020-11-04,7140.0,보합0,7150.0,7180.0,7070.0,52320.0,신한알파리츠,293940
2020-11-05,7180.0,상승  40,7150.0,7280.0,7140.0,82604.0,신한알파리츠,293940
2020-11-06,7190.0,상승  10,7180.0,7200.0,7110.0,44909.0,신한알파리츠,293940
2020-11-09,7190.0,보합0,7200.0,7200.0,7160.0,62501.0,신한알파리츠,293940
2020-11-10,7190.0,보합0,7190.0,7280.0,7170.0,79076.0,신한알파리츠,293940
2020-11-11,7140.0,하락  50,7210.0,7210.0,7110.0,67517.0,신한알파리츠,293940
2020-11-12,7160.0,상승  20,7150.0,7190.0,7110.0,23457.0,신한알파리츠,293940
2020-11-13,7130.0,하락  30,7160.0,7160.0,7120.0,51069.0,신한알파리츠,293940
2020-11-16,7180.0,상승  50,7140.0,7190.0,7140.0,60587.0,신한알파리츠,293940
2020-11-17,7170.0,하락  10,7180.0,7210.0,7160.0,44343.0,신한알파리츠,293940
2020-11-18,7170.0,보합0,7170.0,7210.0,7130.0,61588.0,신한알파리츠,293940
2020-11-19,7140.0,하락  30,7160.0,7170.0,7130.0,73038.0,신한알파리츠,293940
2020-11-20,7210.0,상승  70,7140.0,7300.0,7140.0,118706.0,신한알파리츠,293940
2020-11-23,7320.0,상승  110,7190.0,7360.0,7190.0,68778.0,신한알파리츠,293940
2020-11-24,7320.0,보합0,7300.0,7500.0,7250.0,101654.0,신한알파리츠,293940
2020-11-25,7330.0,상승  10,7350.0,7390.0,7310.0,39786.0,신한알파리츠,293940
2020-11-26,7360.0,상승  30,7400.0,7450.0,7310.0,45316.0,신한알파리츠,293940
2020-11-27,7410.0,상승  50,7450.0,7450.0,7350.0,55443.0,신한알파리츠,293940
2020-11-30,7430.0,상승  20,7410.0,7490.0,7370.0,104392.0,신한알파리츠,293940
2020-12-01,7400.0,하락  30,7580.0,7580.0,7400.0,55379.0,신한알파리츠,293940
2020-12-02,7390.0,하락  10,7500.0,7500.0,7370.0,42602.0,신한알파리츠,293940
2020-12-03,7370.0,하락  20,7390.0,7490.0,7360.0,58932.0,신한알파리츠,293940
2020-12-04,7310.0,하락  60,7460.0,7460.0,7310.0,55802.0,신한알파리츠,293940
2020-12-07,7230.0,하락  80,7280.0,7320.0,7160.0,140074.0,신한알파리츠,293940
2020-12-08,7230.0,보합0,7270.0,7270.0,7110.0,57234.0,신한알파리츠,293940
2020-12-09,7220.0,하락  10,7340.0,7340.0,7100.0,99583.0,신한알파리츠,293940
2020-12-10,7140.0,하락  80,7250.0,7250.0,7110.0,98154.0,신한알파리츠,293940
2020-12-11,7130.0,하락  10,7150.0,7190.0,7060.0,182745.0,신한알파리츠,293940
2020-12-14,7080.0,하락  50,7130.0,7150.0,7040.0,136296.0,신한알파리츠,293940
2020-12-15,7030.0,하락  50,7080.0,7080.0,6970.0,149083.0,신한알파리츠,293940
2020-12-16,7140.0,상승  110,7030.0,7180.0,7010.0,44774.0,신한알파리츠,293940
2020-12-17,7080.0,하락  60,7120.0,7230.0,7060.0,124687.0,신한알파리츠,293940
2020-12-18,7170.0,상승  90,7050.0,7170.0,7040.0,53195.0,신한알파리츠,293940
2020-12-21,7160.0,하락  10,7170.0,7190.0,7000.0,68897.0,신한알파리츠,293940
2020-12-22,7120.0,하락  40,7160.0,7160.0,7100.0,32690.0,신한알파리츠,293940
2020-12-23,7100.0,하락  20,7150.0,7150.0,7040.0,61730.0,신한알파리츠,293940
2020-12-24,7130.0,상승  30,7150.0,7160.0,7050.0,85913.0,신한알파리츠,293940
2020-12-28,7120.0,하락  10,7130.0,7200.0,7080.0,83425.0,신한알파리츠,293940
2020-12-29,7100.0,하락  20,7010.0,7230.0,7010.0,95482.0,신한알파리츠,293940
2020-12-30,7120.0,상승  20,7110.0,7140.0,7080.0,73155.0,신한알파리츠,293940
2021-01-04,7060.0,하락  60,7130.0,7170.0,6950.0,119953.0,신한알파리츠,293940
2021-01-05,7080.0,상승  20,7010.0,7160.0,7000.0,140864.0,신한알파리츠,293940
2021-01-06,7180.0,상승  100,7100.0,7180.0,7060.0,124596.0,신한알파리츠,293940
2021-01-07,7170.0,하락  10,7190.0,7190.0,7120.0,81713.0,신한알파리츠,293940
2021-01-08,7100.0,하락  70,7160.0,7170.0,7050.0,83204.0,신한알파리츠,293940
2021-01-11,7030.0,하락  70,7090.0,7100.0,6930.0,219179.0,신한알파리츠,293940
2021-01-12,7010.0,하락  20,6990.0,7050.0,6980.0,99533.0,신한알파리츠,293940
2021-01-13,7010.0,보합0,7010.0,7070.0,6960.0,99286.0,신한알파리츠,293940
2021-01-14,7010.0,보합0,7020.0,7090.0,6990.0,85278.0,신한알파리츠,293940
2021-01-15,7000.0,하락  10,7020.0,7060.0,6980.0,84567.0,신한알파리츠,293940
2021-01-18,6940.0,하락  60,7000.0,7000.0,6930.0,149926.0,신한알파리츠,293940
2021-01-19,6890.0,하락  50,6950.0,7000.0,6890.0,108227.0,신한알파리츠,293940
2021-01-20,6990.0,상승  100,6920.0,7020.0,6890.0,73639.0,신한알파리츠,293940
2021-01-21,7000.0,상승  10,7000.0,7020.0,6950.0,63770.0,신한알파리츠,293940
2021-01-22,7010.0,상승  10,6970.0,7020.0,6970.0,84160.0,신한알파리츠,293940
2021-01-25,7030.0,상승  20,7020.0,7050.0,6980.0,132579.0,신한알파리츠,293940
2021-01-26,7010.0,하락  20,7030.0,7050.0,7000.0,44428.0,신한알파리츠,293940
2021-01-27,7020.0,상승  10,7030.0,7040.0,6980.0,84945.0,신한알파리츠,293940
2021-01-28,7010.0,하락  10,7000.0,7040.0,6990.0,66589.0,신한알파리츠,293940
2021-01-29,7000.0,하락  10,7050.0,7090.0,7000.0,114426.0,신한알파리츠,293940
2021-02-01,7020.0,상승  20,7090.0,7090.0,6990.0,68829.0,신한알파리츠,293940
2021-02-02,7040.0,상승  20,7070.0,7070.0,7000.0,99208.0,신한알파리츠,293940
2021-02-03,7030.0,하락  10,7050.0,7060.0,6990.0,74911.0,신한알파리츠,293940
2021-02-04,7040.0,상승  10,7120.0,7120.0,7010.0,46577.0,신한알파리츠,293940
2021-02-05,7040.0,보합0,7040.0,7070.0,7040.0,50571.0,신한알파리츠,293940
2021-02-08,7070.0,상승  30,7040.0,7080.0,7020.0,85839.0,신한알파리츠,293940
2021-02-09,7090.0,상승  20,7080.0,7110.0,7070.0,90125.0,신한알파리츠,293940
2021-02-10,7100.0,상승  10,7070.0,7140.0,7070.0,76394.0,신한알파리츠,293940
2021-02-15,7050.0,하락  50,7100.0,7200.0,7010.0,179778.0,신한알파리츠,293940
2021-02-16,7040.0,하락  10,7030.0,7090.0,7030.0,56300.0,신한알파리츠,293940
2021-02-17,7050.0,상승  10,7040.0,7110.0,7020.0,131715.0,신한알파리츠,293940
2021-02-18,7050.0,보합0,7050.0,7110.0,7050.0,85038.0,신한알파리츠,293940
2021-02-19,7080.0,상승  30,7050.0,7100.0,7030.0,89757.0,신한알파리츠,293940
2021-02-22,7100.0,상승  20,7120.0,7120.0,7070.0,61733.0,신한알파리츠,293940
2021-02-23,7100.0,보합0,7100.0,7120.0,7040.0,102861.0,신한알파리츠,293940
2021-02-24,7130.0,상승  30,7050.0,7130.0,7040.0,107806.0,신한알파리츠,293940
2021-02-25,7210.0,상승  80,7130.0,7210.0,7090.0,82300.0,신한알파리츠,293940
2021-02-26,7230.0,상승  20,7200.0,7230.0,7100.0,92772.0,신한알파리츠,293940
2021-03-02,7270.0,상승  40,7230.0,7270.0,7220.0,80407.0,신한알파리츠,293940
2021-03-03,7250.0,하락  20,7290.0,7290.0,7220.0,38774.0,신한알파리츠,293940
2021-03-04,7220.0,하락  30,7230.0,7230.0,7190.0,50699.0,신한알파리츠,293940
2021-03-05,7290.0,상승  70,7240.0,7290.0,7200.0,95690.0,신한알파리츠,293940
2021-03-08,7300.0,상승  10,7340.0,7340.0,7260.0,99931.0,신한알파리츠,293940
2021-03-09,7300.0,보합0,7340.0,7340.0,7210.0,55081.0,신한알파리츠,293940
2021-03-10,7280.0,하락  20,7300.0,7310.0,7250.0,49841.0,신한알파리츠,293940
2021-03-11,7290.0,상승  10,7300.0,7300.0,7230.0,1080496.0,신한알파리츠,293940
2021-03-12,7290.0,보합0,7290.0,7310.0,7250.0,53430.0,신한알파리츠,293940
2021-03-15,7360.0,상승  70,7290.0,7360.0,7290.0,63273.0,신한알파리츠,293940
2021-03-16,7380.0,상승  20,7360.0,7390.0,7300.0,114742.0,신한알파리츠,293940
2021-03-17,7390.0,상승  10,7400.0,7410.0,7350.0,77985.0,신한알파리츠,293940
2021-03-18,7390.0,보합0,7400.0,7410.0,7380.0,85061.0,신한알파리츠,293940
2021-03-19,7400.0,상승  10,7390.0,7400.0,7360.0,120254.0,신한알파리츠,293940
2021-03-22,7430.0,상승  30,7410.0,7430.0,7380.0,91672.0,신한알파리츠,293940
2021-03-23,7440.0,상승  10,7430.0,7440.0,7420.0,94209.0,신한알파리츠,293940
2021-03-24,7460.0,상승  20,7450.0,7470.0,7410.0,106123.0,신한알파리츠,293940
2021-03-25,7560.0,상승  100,7470.0,7580.0,7430.0,206591.0,신한알파리츠,293940
2021-03-26,7700.0,상승  140,7540.0,7780.0,7540.0,367722.0,신한알파리츠,293940
2021-03-29,7720.0,상승  20,7710.0,7790.0,7560.0,321118.0,신한알파리츠,293940
2021-03-30,7540.0,하락  180,7640.0,7700.0,7530.0,193449.0,신한알파리츠,293940
2021-03-31,7530.0,하락  10,7530.0,7600.0,7530.0,112135.0,신한알파리츠,293940
2021-04-01,7530.0,보합0,7530.0,7570.0,7500.0,106722.0,신한알파리츠,293940
2021-04-02,7490.0,하락  40,7520.0,7520.0,7440.0,135701.0,신한알파리츠,293940
2021-04-05,7440.0,하락  50,7490.0,7490.0,7440.0,105817.0,신한알파리츠,293940
2021-04-06,7410.0,하락  30,7440.0,7440.0,7380.0,145949.0,신한알파리츠,293940
2021-04-07,7470.0,상승  60,7460.0,7480.0,7430.0,77145.0,신한알파리츠,293940
2021-04-08,7450.0,하락  20,7470.0,7500.0,7360.0,112013.0,신한알파리츠,293940
2021-04-09,7470.0,상승  20,7480.0,7490.0,7390.0,119074.0,신한알파리츠,293940
2021-04-12,7500.0,상승  30,7470.0,7540.0,7470.0,69343.0,신한알파리츠,293940
2021-04-13,7560.0,상승  60,7500.0,7620.0,7470.0,118280.0,신한알파리츠,293940
2021-04-14,7590.0,상승  30,7600.0,7630.0,7560.0,68717.0,신한알파리츠,293940
2021-04-15,7580.0,하락  10,7620.0,7630.0,7570.0,56165.0,신한알파리츠,293940
2021-04-16,7600.0,상승  20,7580.0,7610.0,7580.0,62811.0,신한알파리츠,293940
2021-04-19,7600.0,보합0,7630.0,7650.0,7580.0,93345.0,신한알파리츠,293940
2021-04-20,7630.0,상승  30,7600.0,7700.0,7600.0,127874.0,신한알파리츠,293940
2021-04-21,7720.0,상승  90,7630.0,7720.0,7630.0,105826.0,신한알파리츠,293940
2021-04-22,7820.0,상승  100,7730.0,7910.0,7730.0,228366.0,신한알파리츠,293940
2021-04-23,7890.0,상승  70,7820.0,7920.0,7820.0,203407.0,신한알파리츠,293940
2021-04-26,7940.0,상승  50,7990.0,7990.0,7900.0,175262.0,신한알파리츠,293940
2021-04-27,8040.0,상승  100,7940.0,8170.0,7910.0,224210.0,신한알파리츠,293940
2021-04-28,8050.0,상승  10,8070.0,8070.0,7920.0,169976.0,신한알파리츠,293940
2021-04-29,8130.0,상승  80,8050.0,8210.0,8020.0,162869.0,신한알파리츠,293940
2021-04-30,8130.0,보합0,8200.0,8250.0,8050.0,151876.0,신한알파리츠,293940
2021-05-03,8230.0,상승  100,8150.0,8310.0,8110.0,119835.0,신한알파리츠,293940
2021-05-04,8170.0,하락  60,8220.0,8300.0,7960.0,265519.0,신한알파리츠,293940
2021-05-06,8160.0,하락  10,8170.0,8220.0,8130.0,117510.0,신한알파리츠,293940
2021-05-07,8160.0,보합0,8160.0,8190.0,8130.0,89229.0,신한알파리츠,293940
2021-05-10,8200.0,상승  40,8160.0,8280.0,8150.0,188241.0,신한알파리츠,293940
2021-05-11,8190.0,하락  10,8240.0,8260.0,8180.0,152326.0,신한알파리츠,293940
