날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,62500.0,"하락  4,800",61000.0,64700.0,59500.0,158498.0,현대백화점,069960
2020-03-16,64800.0,"상승  2,300",62000.0,67000.0,60300.0,118220.0,현대백화점,069960
2020-03-17,66800.0,"상승  2,000",60300.0,69000.0,60300.0,98108.0,현대백화점,069960
2020-03-18,64700.0,"하락  2,100",66200.0,68700.0,64600.0,96154.0,현대백화점,069960
2020-03-19,60300.0,"하락  4,400",66000.0,67800.0,59500.0,112405.0,현대백화점,069960
2020-03-20,60800.0,상승  500,61300.0,62000.0,57400.0,149020.0,현대백화점,069960
2020-03-23,53000.0,"하락  7,800",57500.0,58900.0,52600.0,120557.0,현대백화점,069960
2020-03-24,55400.0,"상승  2,400",53500.0,55500.0,52900.0,114552.0,현대백화점,069960
2020-03-25,57900.0,"상승  2,500",56200.0,59300.0,56100.0,140043.0,현대백화점,069960
2020-03-26,58400.0,상승  500,58000.0,60500.0,57000.0,133203.0,현대백화점,069960
2020-03-27,56800.0,"하락  1,600",61700.0,61900.0,55000.0,149706.0,현대백화점,069960
2020-03-30,56900.0,상승  100,56100.0,57000.0,53700.0,136590.0,현대백화점,069960
2020-03-31,58800.0,"상승  1,900",57400.0,58800.0,56300.0,115526.0,현대백화점,069960
2020-04-01,56300.0,"하락  2,500",57800.0,59500.0,56100.0,75960.0,현대백화점,069960
2020-04-02,57200.0,상승  900,55900.0,57800.0,55000.0,98659.0,현대백화점,069960
2020-04-03,58000.0,상승  800,56500.0,58900.0,56500.0,67342.0,현대백화점,069960
2020-04-06,62000.0,"상승  4,000",58500.0,62300.0,58000.0,85458.0,현대백화점,069960
2020-04-07,62900.0,상승  900,63900.0,64000.0,62000.0,125776.0,현대백화점,069960
2020-04-08,63100.0,상승  200,62100.0,65000.0,61700.0,138411.0,현대백화점,069960
2020-04-09,64000.0,상승  900,64500.0,65600.0,63300.0,132070.0,현대백화점,069960
2020-04-10,64400.0,상승  400,64000.0,65000.0,63300.0,73648.0,현대백화점,069960
2020-04-13,62900.0,"하락  1,500",64000.0,64400.0,62900.0,50509.0,현대백화점,069960
2020-04-14,63700.0,상승  800,63300.0,64400.0,62900.0,88428.0,현대백화점,069960
2020-04-16,63500.0,하락  200,62600.0,64700.0,62200.0,94510.0,현대백화점,069960
2020-04-17,65900.0,"상승  2,400",65000.0,68700.0,64800.0,204909.0,현대백화점,069960
2020-04-20,67700.0,"상승  1,800",66500.0,69000.0,66400.0,162372.0,현대백화점,069960
2020-04-21,66300.0,"하락  1,400",67700.0,68100.0,65700.0,118303.0,현대백화점,069960
2020-04-22,68200.0,"상승  1,900",65300.0,68500.0,64600.0,109283.0,현대백화점,069960
2020-04-23,69400.0,"상승  1,200",68200.0,70800.0,67700.0,150155.0,현대백화점,069960
2020-04-24,67500.0,"하락  1,900",68900.0,69400.0,67400.0,71813.0,현대백화점,069960
2020-04-27,70600.0,"상승  3,100",67900.0,72500.0,67500.0,144374.0,현대백화점,069960
2020-04-28,75200.0,"상승  4,600",72700.0,76000.0,71000.0,169476.0,현대백화점,069960
2020-04-29,72700.0,"하락  2,500",75600.0,76400.0,72400.0,173732.0,현대백화점,069960
2020-05-04,70900.0,"하락  1,800",71700.0,72900.0,69900.0,103792.0,현대백화점,069960
2020-05-06,71300.0,상승  400,72100.0,72600.0,70700.0,114991.0,현대백화점,069960
2020-05-07,70900.0,하락  400,70800.0,73200.0,70500.0,97750.0,현대백화점,069960
2020-05-08,70800.0,하락  100,71500.0,72300.0,70600.0,108534.0,현대백화점,069960
2020-05-11,68300.0,"하락  2,500",70200.0,70600.0,68000.0,214975.0,현대백화점,069960
2020-05-12,67100.0,"하락  1,200",67800.0,68200.0,66800.0,128175.0,현대백화점,069960
2020-05-13,66300.0,하락  800,67000.0,67000.0,66000.0,111979.0,현대백화점,069960
2020-05-14,64900.0,"하락  1,400",66300.0,66300.0,64200.0,131345.0,현대백화점,069960
2020-05-15,65100.0,상승  200,65100.0,66100.0,64200.0,87090.0,현대백화점,069960
2020-05-18,66600.0,"상승  1,500",65700.0,67300.0,64900.0,79919.0,현대백화점,069960
2020-05-19,69500.0,"상승  2,900",68100.0,69800.0,67900.0,127911.0,현대백화점,069960
2020-05-20,68900.0,하락  600,69000.0,69800.0,68500.0,53086.0,현대백화점,069960
2020-05-21,68500.0,하락  400,69000.0,69500.0,68300.0,88815.0,현대백화점,069960
2020-05-22,66400.0,"하락  2,100",69200.0,69200.0,66100.0,96763.0,현대백화점,069960
2020-05-25,65600.0,하락  800,67000.0,67300.0,64400.0,133436.0,현대백화점,069960
2020-05-26,66100.0,상승  500,65500.0,67000.0,65000.0,140425.0,현대백화점,069960
2020-05-27,65400.0,하락  700,66900.0,67000.0,65200.0,211907.0,현대백화점,069960
2020-05-28,64800.0,하락  600,67700.0,67700.0,63900.0,272131.0,현대백화점,069960
2020-05-29,64000.0,하락  800,64800.0,64800.0,62100.0,347426.0,현대백화점,069960
2020-06-01,64500.0,상승  500,64100.0,64500.0,63000.0,109579.0,현대백화점,069960
2020-06-02,65100.0,상승  600,64500.0,65400.0,64100.0,125737.0,현대백화점,069960
2020-06-03,66000.0,상승  900,65500.0,66700.0,65100.0,221219.0,현대백화점,069960
2020-06-04,65800.0,하락  200,67100.0,68200.0,65600.0,214179.0,현대백화점,069960
2020-06-05,66100.0,상승  300,66000.0,67200.0,65100.0,187154.0,현대백화점,069960
2020-06-08,65600.0,하락  500,67300.0,67300.0,65500.0,156183.0,현대백화점,069960
2020-06-09,65400.0,하락  200,66000.0,66200.0,65000.0,117592.0,현대백화점,069960
2020-06-10,64900.0,하락  500,65400.0,65800.0,64600.0,104583.0,현대백화점,069960
2020-06-11,63300.0,"하락  1,600",64600.0,64900.0,62800.0,187244.0,현대백화점,069960
2020-06-12,61400.0,"하락  1,900",60200.0,61700.0,60200.0,159488.0,현대백화점,069960
2020-06-15,58300.0,"하락  3,100",60800.0,61200.0,58200.0,155869.0,현대백화점,069960
2020-06-16,60400.0,"상승  2,100",58900.0,60500.0,58900.0,85320.0,현대백화점,069960
2020-06-17,58900.0,"하락  1,500",60000.0,60300.0,58100.0,137616.0,현대백화점,069960
2020-06-18,58600.0,하락  300,58500.0,59500.0,58300.0,81967.0,현대백화점,069960
2020-06-19,59200.0,상승  600,60000.0,60300.0,59200.0,148825.0,현대백화점,069960
2020-06-22,58700.0,하락  500,59100.0,59900.0,58700.0,51648.0,현대백화점,069960
2020-06-23,58000.0,하락  700,59700.0,59700.0,57800.0,113942.0,현대백화점,069960
2020-06-24,58100.0,상승  100,58000.0,58700.0,57900.0,73220.0,현대백화점,069960
2020-06-25,56300.0,"하락  1,800",57500.0,57600.0,56300.0,116663.0,현대백화점,069960
2020-06-26,56500.0,상승  200,56600.0,57500.0,55600.0,108886.0,현대백화점,069960
2020-06-29,54600.0,"하락  1,900",56100.0,56500.0,54000.0,132907.0,현대백화점,069960
2020-06-30,56300.0,"상승  1,700",55200.0,58700.0,54800.0,202070.0,현대백화점,069960
2020-07-01,57200.0,상승  900,56900.0,58100.0,56100.0,92804.0,현대백화점,069960
2020-07-02,59300.0,"상승  2,100",57000.0,59300.0,56600.0,141139.0,현대백화점,069960
2020-07-03,61100.0,"상승  1,800",59500.0,61300.0,59000.0,140712.0,현대백화점,069960
2020-07-06,63000.0,"상승  1,900",61600.0,63200.0,61100.0,151408.0,현대백화점,069960
2020-07-07,61800.0,"하락  1,200",63200.0,63900.0,61600.0,136243.0,현대백화점,069960
2020-07-08,61400.0,하락  400,61600.0,62200.0,61100.0,101049.0,현대백화점,069960
2020-07-09,60700.0,하락  700,61800.0,62000.0,60300.0,104664.0,현대백화점,069960
2020-07-10,58700.0,"하락  2,000",60700.0,60800.0,58600.0,128658.0,현대백화점,069960
2020-07-13,59500.0,상승  800,59200.0,60300.0,58700.0,100511.0,현대백화점,069960
2020-07-14,59900.0,상승  400,59400.0,59900.0,58700.0,65549.0,현대백화점,069960
2020-07-15,59800.0,하락  100,60500.0,61400.0,59600.0,98221.0,현대백화점,069960
2020-07-16,61200.0,"상승  1,400",60200.0,61800.0,60100.0,110947.0,현대백화점,069960
2020-07-17,60500.0,하락  700,60900.0,61900.0,60000.0,88456.0,현대백화점,069960
2020-07-20,60400.0,하락  100,60500.0,61000.0,60000.0,59494.0,현대백화점,069960
2020-07-21,60800.0,상승  400,60600.0,61600.0,60200.0,98929.0,현대백화점,069960
2020-07-22,60800.0,보합0,61000.0,61700.0,60600.0,85970.0,현대백화점,069960
2020-07-23,59700.0,"하락  1,100",60700.0,60700.0,59300.0,108846.0,현대백화점,069960
2020-07-24,59800.0,상승  100,59100.0,60200.0,58600.0,77227.0,현대백화점,069960
2020-07-27,59500.0,하락  300,59300.0,60300.0,59300.0,77161.0,현대백화점,069960
2020-07-28,59600.0,상승  100,59500.0,60700.0,58800.0,106283.0,현대백화점,069960
2020-07-29,59300.0,하락  300,59500.0,60000.0,58800.0,84862.0,현대백화점,069960
2020-07-30,60900.0,"상승  1,600",59300.0,61500.0,59300.0,131148.0,현대백화점,069960
2020-07-31,59700.0,"하락  1,200",60900.0,61300.0,59700.0,88381.0,현대백화점,069960
2020-08-03,58500.0,"하락  1,200",59500.0,59900.0,58400.0,105880.0,현대백화점,069960
