날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,88400.0,"상승  4,400",74200.0,102000.0,69300.0,1429800.0,대웅제약,069620
2020-03-16,80000.0,"하락  8,400",96100.0,97000.0,80000.0,613322.0,대웅제약,069620
2020-03-17,75800.0,"하락  4,200",74200.0,79900.0,73000.0,229001.0,대웅제약,069620
2020-03-18,73400.0,"하락  2,400",76700.0,86900.0,73300.0,362970.0,대웅제약,069620
2020-03-19,64000.0,"하락  9,400",75100.0,76100.0,63200.0,205635.0,대웅제약,069620
2020-03-20,66600.0,"상승  2,600",64400.0,68000.0,64200.0,186584.0,대웅제약,069620
2020-03-23,67900.0,"상승  1,300",64100.0,73700.0,63700.0,185206.0,대웅제약,069620
2020-03-24,73500.0,"상승  5,600",70200.0,74500.0,69300.0,597131.0,대웅제약,069620
2020-03-25,78600.0,"상승  5,100",77400.0,88000.0,75400.0,356719.0,대웅제약,069620
2020-03-26,79900.0,"상승  1,300",80300.0,83400.0,77800.0,152405.0,대웅제약,069620
2020-03-27,80900.0,"상승  1,000",82900.0,84000.0,77700.0,128234.0,대웅제약,069620
2020-03-30,82800.0,"상승  1,900",78600.0,82800.0,77500.0,92005.0,대웅제약,069620
2020-03-31,84700.0,"상승  1,900",83400.0,87000.0,82200.0,163297.0,대웅제약,069620
2020-04-01,83800.0,하락  900,85500.0,87500.0,81700.0,119882.0,대웅제약,069620
2020-04-02,83700.0,하락  100,82500.0,84400.0,80200.0,91868.0,대웅제약,069620
2020-04-03,86000.0,"상승  2,300",84300.0,87000.0,83200.0,96778.0,대웅제약,069620
2020-04-06,90200.0,"상승  4,200",87000.0,90200.0,86900.0,94122.0,대웅제약,069620
2020-04-07,95000.0,"상승  4,800",92500.0,95000.0,90100.0,97760.0,대웅제약,069620
2020-04-08,93900.0,"하락  1,100",96000.0,96000.0,92600.0,70995.0,대웅제약,069620
2020-04-09,95300.0,"상승  1,400",94500.0,96400.0,93800.0,55289.0,대웅제약,069620
2020-04-10,95100.0,하락  200,95500.0,97900.0,93300.0,73815.0,대웅제약,069620
2020-04-13,95100.0,보합0,95400.0,96700.0,90500.0,61060.0,대웅제약,069620
2020-04-14,106000.0,"상승  10,900",95200.0,123000.0,93800.0,1515356.0,대웅제약,069620
2020-04-16,108500.0,"상승  2,500",108000.0,115500.0,106000.0,384546.0,대웅제약,069620
2020-04-17,104500.0,"하락  4,000",109000.0,113000.0,102500.0,171765.0,대웅제약,069620
2020-04-20,113500.0,"상승  9,000",125000.0,129500.0,113000.0,661028.0,대웅제약,069620
2020-04-21,107000.0,"하락  6,500",114000.0,114500.0,101500.0,251208.0,대웅제약,069620
2020-04-22,116000.0,"상승  9,000",109500.0,130000.0,105000.0,1405651.0,대웅제약,069620
2020-04-23,113500.0,"하락  2,500",119000.0,119000.0,111500.0,288177.0,대웅제약,069620
2020-04-24,112500.0,"하락  1,000",114000.0,125000.0,111500.0,848762.0,대웅제약,069620
2020-04-27,112500.0,보합0,112500.0,116500.0,112000.0,164739.0,대웅제약,069620
2020-04-28,109500.0,"하락  3,000",113000.0,113000.0,108000.0,152230.0,대웅제약,069620
2020-04-29,107000.0,"하락  2,500",110500.0,110500.0,105500.0,142591.0,대웅제약,069620
2020-05-04,103000.0,"하락  4,000",107000.0,107500.0,103000.0,85515.0,대웅제약,069620
2020-05-06,104500.0,"상승  1,500",104000.0,105000.0,103000.0,62988.0,대웅제약,069620
2020-05-07,105000.0,상승  500,105500.0,108500.0,104500.0,66316.0,대웅제약,069620
2020-05-08,105000.0,보합0,103500.0,106000.0,103000.0,69692.0,대웅제약,069620
2020-05-11,102500.0,"하락  2,500",104500.0,105000.0,102000.0,84559.0,대웅제약,069620
2020-05-12,102500.0,보합0,103000.0,103500.0,100000.0,71127.0,대웅제약,069620
2020-05-13,101500.0,"하락  1,000",102000.0,104500.0,100000.0,75444.0,대웅제약,069620
2020-05-14,103000.0,"상승  1,500",101500.0,104000.0,100000.0,95581.0,대웅제약,069620
2020-05-15,108000.0,"상승  5,000",107000.0,110500.0,102000.0,469229.0,대웅제약,069620
2020-05-18,104000.0,"하락  4,000",107000.0,107500.0,103500.0,95894.0,대웅제약,069620
2020-05-19,104000.0,보합0,106000.0,106500.0,102500.0,90408.0,대웅제약,069620
2020-05-20,103000.0,"하락  1,000",103000.0,104500.0,102000.0,56617.0,대웅제약,069620
2020-05-21,102500.0,하락  500,103000.0,103500.0,101500.0,60744.0,대웅제약,069620
2020-05-22,102000.0,하락  500,103000.0,105500.0,101000.0,96881.0,대웅제약,069620
2020-05-25,101000.0,"하락  1,000",102000.0,102000.0,100500.0,49881.0,대웅제약,069620
2020-05-26,102000.0,"상승  1,000",100000.0,102500.0,100000.0,81749.0,대웅제약,069620
2020-05-27,105500.0,"상승  3,500",102000.0,106500.0,102000.0,107163.0,대웅제약,069620
2020-05-28,108000.0,"상승  2,500",105500.0,115000.0,101000.0,475821.0,대웅제약,069620
2020-05-29,102500.0,"하락  5,500",106000.0,109500.0,102500.0,201878.0,대웅제약,069620
2020-06-01,103000.0,상승  500,103000.0,103500.0,100500.0,84876.0,대웅제약,069620
2020-06-02,106500.0,"상승  3,500",103000.0,109000.0,101500.0,177945.0,대웅제약,069620
2020-06-03,110000.0,"상승  3,500",106500.0,111500.0,106500.0,198246.0,대웅제약,069620
2020-06-04,110000.0,보합0,112500.0,113000.0,107000.0,176893.0,대웅제약,069620
2020-06-05,143000.0,"상한가  33,000",112000.0,143000.0,110000.0,2887016.0,대웅제약,069620
2020-06-08,135000.0,"하락  8,000",146500.0,150000.0,134500.0,1061157.0,대웅제약,069620
2020-06-09,148500.0,"상승  13,500",137500.0,163000.0,135500.0,2893201.0,대웅제약,069620
2020-06-10,142000.0,"하락  6,500",151500.0,160000.0,136500.0,989282.0,대웅제약,069620
2020-06-11,146000.0,"상승  4,000",145500.0,154500.0,144000.0,467114.0,대웅제약,069620
2020-06-12,147500.0,"상승  1,500",139000.0,148500.0,136500.0,351001.0,대웅제약,069620
2020-06-15,137000.0,"하락  10,500",147500.0,153000.0,133000.0,459438.0,대웅제약,069620
2020-06-16,142500.0,"상승  5,500",139000.0,146500.0,139000.0,206033.0,대웅제약,069620
2020-06-17,141500.0,"하락  1,000",141000.0,146000.0,136500.0,171013.0,대웅제약,069620
2020-06-18,146500.0,"상승  5,000",160000.0,162000.0,145500.0,727226.0,대웅제약,069620
2020-06-19,141000.0,"하락  5,500",148500.0,149000.0,139000.0,210145.0,대웅제약,069620
2020-06-22,136500.0,"하락  4,500",140000.0,140500.0,136000.0,147100.0,대웅제약,069620
2020-06-23,138000.0,"상승  1,500",135000.0,143000.0,133000.0,245378.0,대웅제약,069620
2020-06-24,137000.0,"하락  1,000",137000.0,142000.0,135500.0,161579.0,대웅제약,069620
2020-06-25,136000.0,"하락  1,000",135500.0,138000.0,135000.0,76170.0,대웅제약,069620
2020-06-26,139500.0,"상승  3,500",138000.0,142000.0,135500.0,183882.0,대웅제약,069620
2020-06-29,139000.0,하락  500,140000.0,142500.0,138500.0,138331.0,대웅제약,069620
2020-06-30,132500.0,"하락  6,500",139500.0,140000.0,129000.0,181349.0,대웅제약,069620
2020-07-01,125500.0,"하락  7,000",127500.0,132000.0,125500.0,142610.0,대웅제약,069620
2020-07-02,126000.0,상승  500,125000.0,128500.0,124500.0,84383.0,대웅제약,069620
2020-07-03,125500.0,하락  500,125000.0,127000.0,122500.0,96872.0,대웅제약,069620
2020-07-06,133500.0,"상승  8,000",127500.0,140000.0,121000.0,698865.0,대웅제약,069620
2020-07-07,110500.0,"하락  23,000",110000.0,117500.0,105500.0,1522642.0,대웅제약,069620
2020-07-08,107500.0,"하락  3,000",109000.0,111500.0,105500.0,582114.0,대웅제약,069620
2020-07-09,108500.0,"상승  1,000",107000.0,109500.0,106000.0,388494.0,대웅제약,069620
2020-07-10,108000.0,하락  500,112500.0,113000.0,107000.0,286955.0,대웅제약,069620
2020-07-13,107000.0,"하락  1,000",107500.0,109500.0,104000.0,242904.0,대웅제약,069620
2020-07-14,109000.0,"상승  2,000",108000.0,112500.0,107000.0,243149.0,대웅제약,069620
2020-07-15,109000.0,보합0,109000.0,111000.0,106500.0,176577.0,대웅제약,069620
2020-07-16,107000.0,"하락  2,000",109000.0,109000.0,107000.0,74384.0,대웅제약,069620
2020-07-17,106000.0,"하락  1,000",107000.0,108000.0,106000.0,78887.0,대웅제약,069620
2020-07-20,107500.0,"상승  1,500",106000.0,108500.0,104500.0,110424.0,대웅제약,069620
2020-07-21,107500.0,보합0,107500.0,110000.0,106500.0,104065.0,대웅제약,069620
2020-07-22,107000.0,하락  500,107500.0,108500.0,106000.0,93370.0,대웅제약,069620
2020-07-23,110000.0,"상승  3,000",108000.0,116000.0,106000.0,444281.0,대웅제약,069620
2020-07-24,111500.0,"상승  1,500",109000.0,114000.0,108000.0,257108.0,대웅제약,069620
2020-07-27,109500.0,"하락  2,000",113000.0,113500.0,109000.0,113462.0,대웅제약,069620
2020-07-28,109500.0,보합0,109500.0,111500.0,108500.0,96929.0,대웅제약,069620
2020-07-29,111000.0,"상승  1,500",110000.0,112500.0,109000.0,161188.0,대웅제약,069620
2020-07-30,112000.0,"상승  1,000",123000.0,126500.0,112000.0,642655.0,대웅제약,069620
2020-07-31,110000.0,"하락  2,000",109000.0,111000.0,108000.0,132930.0,대웅제약,069620
2020-08-03,106500.0,"하락  3,500",110000.0,110500.0,106500.0,130759.0,대웅제약,069620
2020-08-04,109500.0,"상승  3,000",106500.0,111000.0,106500.0,152693.0,대웅제약,069620
2020-08-05,113000.0,"상승  3,500",111000.0,114000.0,110000.0,223363.0,대웅제약,069620
2020-08-06,135000.0,"상승  22,000",113000.0,146500.0,111000.0,3434964.0,대웅제약,069620
2020-08-07,117000.0,"하락  18,000",125500.0,132000.0,115000.0,1135774.0,대웅제약,069620
2020-08-10,118500.0,"상승  1,500",117000.0,126000.0,115000.0,1337180.0,대웅제약,069620
2020-08-11,118500.0,보합0,117500.0,124500.0,116500.0,668516.0,대웅제약,069620
2020-08-12,116500.0,"하락  2,000",118500.0,119500.0,116000.0,194928.0,대웅제약,069620
2020-08-13,115000.0,"하락  1,500",117000.0,118000.0,114500.0,154078.0,대웅제약,069620
2020-08-14,117000.0,"상승  2,000",114000.0,122000.0,113500.0,275873.0,대웅제약,069620
2020-08-18,110500.0,"하락  6,500",114000.0,116000.0,110000.0,167645.0,대웅제약,069620
2020-08-19,111500.0,"상승  1,000",111500.0,113500.0,110500.0,90165.0,대웅제약,069620
2020-08-20,115000.0,"상승  3,500",111500.0,118000.0,111000.0,209548.0,대웅제약,069620
2020-08-21,117000.0,"상승  2,000",117000.0,121500.0,111000.0,310581.0,대웅제약,069620
2020-08-24,120500.0,"상승  3,500",119500.0,121000.0,117000.0,232481.0,대웅제약,069620
2020-08-25,119000.0,"하락  1,500",121000.0,123000.0,117500.0,357886.0,대웅제약,069620
2020-08-26,116500.0,"하락  2,500",118000.0,119000.0,116000.0,181818.0,대웅제약,069620
2020-08-27,113500.0,"하락  3,000",116500.0,118000.0,113000.0,130084.0,대웅제약,069620
2020-08-28,113000.0,하락  500,114000.0,115000.0,112000.0,152220.0,대웅제약,069620
2020-08-31,116000.0,"상승  3,000",116000.0,119000.0,113500.0,189660.0,대웅제약,069620
2020-09-01,115500.0,하락  500,115500.0,116500.0,114000.0,87354.0,대웅제약,069620
2020-09-02,116000.0,상승  500,115500.0,116000.0,114000.0,74315.0,대웅제약,069620
2020-09-03,118000.0,"상승  2,000",116000.0,122000.0,115000.0,292230.0,대웅제약,069620
2020-09-04,116000.0,"하락  2,000",115500.0,117000.0,114500.0,108880.0,대웅제약,069620
2020-09-07,119000.0,"상승  3,000",116500.0,121000.0,116000.0,205314.0,대웅제약,069620
2020-09-08,117500.0,"하락  1,500",119500.0,120000.0,116500.0,100700.0,대웅제약,069620
2020-09-09,116500.0,"하락  1,000",116000.0,119500.0,115500.0,132572.0,대웅제약,069620
2020-09-10,116000.0,하락  500,117000.0,118000.0,116000.0,82506.0,대웅제약,069620
2020-09-11,116000.0,보합0,116000.0,117000.0,113500.0,77729.0,대웅제약,069620
2020-09-14,116500.0,상승  500,116500.0,119000.0,116000.0,99837.0,대웅제약,069620
2020-09-15,117000.0,상승  500,117500.0,117500.0,116000.0,60763.0,대웅제약,069620
2020-09-16,115500.0,"하락  1,500",116500.0,117000.0,115000.0,70530.0,대웅제약,069620
2020-09-17,113500.0,"하락  2,000",115500.0,116000.0,113500.0,59414.0,대웅제약,069620
2020-09-18,115500.0,"상승  2,000",114000.0,116500.0,113000.0,72145.0,대웅제약,069620
2020-09-21,115000.0,하락  500,114500.0,116500.0,113500.0,92163.0,대웅제약,069620
