날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,16200.0,"하락  1,050",15750.0,16750.0,15600.0,13295.0,부국증권,001270
2020-03-16,15800.0,하락  400,16250.0,17000.0,15800.0,4772.0,부국증권,001270
2020-03-17,16200.0,상승  400,15250.0,16450.0,15100.0,2474.0,부국증권,001270
2020-03-18,16100.0,하락  100,16450.0,17800.0,16050.0,2753.0,부국증권,001270
2020-03-19,14500.0,"하락  1,600",15700.0,15850.0,14100.0,6741.0,부국증권,001270
2020-03-20,15000.0,상승  500,14600.0,15700.0,14350.0,6166.0,부국증권,001270
2020-03-23,13550.0,"하락  1,450",14500.0,14600.0,13250.0,10968.0,부국증권,001270
2020-03-24,13900.0,상승  350,13650.0,14250.0,13350.0,4933.0,부국증권,001270
2020-03-25,14800.0,상승  900,14750.0,15350.0,14550.0,4871.0,부국증권,001270
2020-03-26,15000.0,상승  200,14950.0,15350.0,14850.0,5123.0,부국증권,001270
2020-03-27,15150.0,상승  150,16650.0,16650.0,15100.0,4680.0,부국증권,001270
2020-03-30,16700.0,"상승  1,550",14700.0,16700.0,14700.0,6124.0,부국증권,001270
2020-03-31,16200.0,하락  500,16800.0,17100.0,16200.0,5640.0,부국증권,001270
2020-04-01,15700.0,하락  500,16650.0,16900.0,15700.0,5688.0,부국증권,001270
2020-04-02,15700.0,보합0,15200.0,16300.0,15200.0,31389.0,부국증권,001270
2020-04-03,15700.0,보합0,15800.0,16150.0,15650.0,5173.0,부국증권,001270
2020-04-06,16150.0,상승  450,15650.0,16150.0,15650.0,11392.0,부국증권,001270
2020-04-07,16300.0,상승  150,16700.0,16700.0,16200.0,1874.0,부국증권,001270
2020-04-08,16250.0,하락  50,16600.0,16800.0,16200.0,5564.0,부국증권,001270
2020-04-09,16350.0,상승  100,16350.0,16500.0,16250.0,4368.0,부국증권,001270
2020-04-10,16700.0,상승  350,16550.0,16700.0,16200.0,4417.0,부국증권,001270
2020-04-13,16650.0,하락  50,16750.0,16750.0,16300.0,6825.0,부국증권,001270
2020-04-14,17000.0,상승  350,16750.0,17200.0,16700.0,6241.0,부국증권,001270
2020-04-16,16700.0,하락  300,16700.0,17500.0,15800.0,3675.0,부국증권,001270
2020-04-17,17200.0,상승  500,17200.0,17600.0,16900.0,3745.0,부국증권,001270
2020-04-20,17350.0,상승  150,17150.0,18000.0,17150.0,3499.0,부국증권,001270
2020-04-21,16850.0,하락  500,17000.0,17950.0,16700.0,32881.0,부국증권,001270
2020-04-22,17150.0,상승  300,16850.0,17200.0,16500.0,5810.0,부국증권,001270
2020-04-23,17400.0,상승  250,16950.0,17850.0,16950.0,2695.0,부국증권,001270
2020-04-24,17400.0,보합0,17150.0,17700.0,17150.0,649.0,부국증권,001270
2020-04-27,17250.0,하락  150,17700.0,17700.0,17000.0,20649.0,부국증권,001270
2020-04-28,17350.0,상승  100,17300.0,17500.0,17250.0,3007.0,부국증권,001270
2020-04-29,18400.0,"상승  1,050",17400.0,18400.0,17400.0,8235.0,부국증권,001270
2020-05-04,18000.0,하락  400,18100.0,18500.0,18000.0,7037.0,부국증권,001270
2020-05-06,17900.0,하락  100,18200.0,18450.0,17800.0,14854.0,부국증권,001270
2020-05-07,18200.0,상승  300,17900.0,18400.0,17850.0,1951.0,부국증권,001270
2020-05-08,18300.0,상승  100,18200.0,18350.0,18150.0,1692.0,부국증권,001270
2020-05-11,18000.0,하락  300,18300.0,18550.0,17950.0,2751.0,부국증권,001270
2020-05-12,18150.0,상승  150,18400.0,18400.0,17650.0,2513.0,부국증권,001270
2020-05-13,18000.0,하락  150,18100.0,18100.0,17800.0,1207.0,부국증권,001270
2020-05-14,18200.0,상승  200,18000.0,18200.0,17500.0,5780.0,부국증권,001270
2020-05-15,18250.0,상승  50,18200.0,18350.0,17900.0,3069.0,부국증권,001270
2020-05-18,18700.0,상승  450,18300.0,18800.0,18200.0,16427.0,부국증권,001270
2020-05-19,18750.0,상승  50,19150.0,19150.0,18200.0,3721.0,부국증권,001270
2020-05-20,18950.0,상승  200,18750.0,19100.0,18600.0,489.0,부국증권,001270
2020-05-21,18950.0,보합0,19250.0,19250.0,18600.0,2553.0,부국증권,001270
2020-05-22,18900.0,하락  50,18900.0,19200.0,18600.0,3347.0,부국증권,001270
2020-05-25,19000.0,상승  100,18900.0,19150.0,18900.0,2104.0,부국증권,001270
2020-05-26,19000.0,보합0,19000.0,19050.0,18900.0,824.0,부국증권,001270
2020-05-27,19050.0,상승  50,19000.0,19200.0,19000.0,4219.0,부국증권,001270
2020-05-28,19000.0,하락  50,19250.0,19250.0,18950.0,2483.0,부국증권,001270
2020-05-29,19150.0,상승  150,18950.0,19150.0,18900.0,1415.0,부국증권,001270
2020-06-01,20000.0,상승  850,19150.0,20000.0,19050.0,3325.0,부국증권,001270
2020-06-02,19700.0,하락  300,19800.0,20000.0,19650.0,2424.0,부국증권,001270
2020-06-03,19900.0,상승  200,19700.0,20400.0,19550.0,7883.0,부국증권,001270
2020-06-04,19750.0,하락  150,20400.0,20400.0,19500.0,3037.0,부국증권,001270
2020-06-05,19800.0,상승  50,19750.0,20000.0,19450.0,5265.0,부국증권,001270
2020-06-08,20000.0,상승  200,20000.0,20150.0,19800.0,3264.0,부국증권,001270
2020-06-09,19850.0,하락  150,20000.0,20300.0,19650.0,1713.0,부국증권,001270
2020-06-10,19550.0,하락  300,19850.0,20350.0,19450.0,4206.0,부국증권,001270
2020-06-11,18450.0,"하락  1,100",19700.0,19700.0,18400.0,42001.0,부국증권,001270
2020-06-12,18750.0,상승  300,18000.0,18750.0,17900.0,6896.0,부국증권,001270
2020-06-15,17900.0,하락  850,18850.0,18850.0,17750.0,11469.0,부국증권,001270
2020-06-16,18450.0,상승  550,18200.0,18500.0,18000.0,4974.0,부국증권,001270
2020-06-17,18400.0,하락  50,18350.0,18700.0,18250.0,2119.0,부국증권,001270
2020-06-18,19000.0,상승  600,18500.0,19000.0,18300.0,5443.0,부국증권,001270
2020-06-19,19000.0,보합0,19100.0,19500.0,18750.0,5233.0,부국증권,001270
2020-06-22,18550.0,하락  450,18800.0,18950.0,18400.0,3692.0,부국증권,001270
2020-06-23,18400.0,하락  150,18550.0,18850.0,18300.0,3066.0,부국증권,001270
2020-06-24,18450.0,상승  50,18800.0,18800.0,18200.0,1732.0,부국증권,001270
2020-06-25,18400.0,하락  50,18200.0,18500.0,18050.0,3090.0,부국증권,001270
2020-06-26,18400.0,보합0,18400.0,18550.0,18350.0,3101.0,부국증권,001270
