날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,13000.0,하락  400,12500.0,13150.0,12050.0,75809.0,환인제약,016580
2020-03-16,12400.0,하락  600,12850.0,13150.0,12400.0,33608.0,환인제약,016580
2020-03-17,12500.0,상승  100,11550.0,12500.0,11550.0,49593.0,환인제약,016580
2020-03-18,12350.0,하락  150,12500.0,12850.0,12350.0,47581.0,환인제약,016580
2020-03-19,11050.0,"하락  1,300",12300.0,12450.0,11050.0,77696.0,환인제약,016580
2020-03-20,11150.0,상승  100,10650.0,11350.0,10600.0,131320.0,환인제약,016580
2020-03-23,10350.0,하락  800,10400.0,12600.0,9950.0,430499.0,환인제약,016580
2020-03-24,10950.0,상승  600,10700.0,12300.0,10400.0,492978.0,환인제약,016580
2020-03-25,11900.0,상승  950,11400.0,12100.0,11150.0,262914.0,환인제약,016580
2020-03-26,12700.0,상승  800,12800.0,13200.0,11900.0,259896.0,환인제약,016580
2020-03-27,13450.0,상승  750,13100.0,14450.0,12750.0,327677.0,환인제약,016580
2020-03-30,14200.0,상승  750,13850.0,14650.0,13750.0,225073.0,환인제약,016580
2020-03-31,14750.0,상승  550,14700.0,16750.0,14400.0,720810.0,환인제약,016580
2020-04-01,14200.0,하락  550,14700.0,15250.0,14200.0,158219.0,환인제약,016580
2020-04-02,14650.0,상승  450,14300.0,14650.0,13050.0,103385.0,환인제약,016580
2020-04-03,14650.0,보합0,15050.0,15050.0,14450.0,66413.0,환인제약,016580
2020-04-06,15000.0,상승  350,14650.0,15050.0,14650.0,70043.0,환인제약,016580
2020-04-07,14700.0,하락  300,15100.0,15150.0,14550.0,66053.0,환인제약,016580
2020-04-08,14650.0,하락  50,14800.0,15000.0,14500.0,55518.0,환인제약,016580
2020-04-09,14600.0,하락  50,14700.0,14850.0,14450.0,56427.0,환인제약,016580
2020-04-10,14250.0,하락  350,14600.0,14800.0,13750.0,111291.0,환인제약,016580
2020-04-13,14000.0,하락  250,14300.0,14300.0,13750.0,47939.0,환인제약,016580
2020-04-14,14150.0,상승  150,14200.0,14400.0,13900.0,74539.0,환인제약,016580
2020-04-16,14300.0,상승  150,14200.0,14400.0,14050.0,43686.0,환인제약,016580
2020-04-17,14500.0,상승  200,14500.0,14600.0,14300.0,64815.0,환인제약,016580
2020-04-20,14600.0,상승  100,14600.0,14700.0,14300.0,34841.0,환인제약,016580
2020-04-21,14350.0,하락  250,14650.0,14700.0,13900.0,42799.0,환인제약,016580
2020-04-22,14350.0,보합0,14000.0,14350.0,14000.0,14592.0,환인제약,016580
2020-04-23,14400.0,상승  50,14500.0,14550.0,14300.0,20131.0,환인제약,016580
2020-04-24,14450.0,상승  50,14400.0,14700.0,14250.0,27661.0,환인제약,016580
2020-04-27,14600.0,상승  150,14650.0,14750.0,14450.0,30078.0,환인제약,016580
2020-04-28,14500.0,하락  100,14600.0,14800.0,14200.0,36355.0,환인제약,016580
2020-04-29,14800.0,상승  300,14300.0,14800.0,14300.0,21336.0,환인제약,016580
2020-05-04,14350.0,하락  450,14450.0,14600.0,14250.0,17457.0,환인제약,016580
2020-05-06,14400.0,상승  50,14400.0,14600.0,14250.0,24410.0,환인제약,016580
2020-05-07,14400.0,보합0,14450.0,14550.0,14200.0,17389.0,환인제약,016580
2020-05-08,14550.0,상승  150,14450.0,14700.0,14450.0,42333.0,환인제약,016580
2020-05-11,14350.0,하락  200,14700.0,14700.0,14300.0,16524.0,환인제약,016580
2020-05-12,14300.0,하락  50,14300.0,14450.0,14100.0,25103.0,환인제약,016580
2020-05-13,14350.0,상승  50,14300.0,14400.0,14200.0,15210.0,환인제약,016580
2020-05-14,14250.0,하락  100,14250.0,14350.0,14150.0,15813.0,환인제약,016580
2020-05-15,14200.0,하락  50,14350.0,14400.0,13950.0,89457.0,환인제약,016580
2020-05-18,14150.0,하락  50,14150.0,14250.0,14000.0,46435.0,환인제약,016580
2020-05-19,14350.0,상승  200,14250.0,14350.0,14100.0,55235.0,환인제약,016580
2020-05-20,14500.0,상승  150,14250.0,14550.0,14200.0,23042.0,환인제약,016580
2020-05-21,14300.0,하락  200,14500.0,14600.0,14200.0,58209.0,환인제약,016580
2020-05-22,13850.0,하락  450,14200.0,14350.0,13850.0,45501.0,환인제약,016580
2020-05-25,14000.0,상승  150,13900.0,14150.0,13900.0,44952.0,환인제약,016580
2020-05-26,14300.0,상승  300,13950.0,14300.0,13950.0,44592.0,환인제약,016580
2020-05-27,14400.0,상승  100,14300.0,14550.0,14200.0,53119.0,환인제약,016580
2020-05-28,14050.0,하락  350,14500.0,14600.0,14000.0,69225.0,환인제약,016580
2020-05-29,13500.0,하락  550,14000.0,14150.0,13500.0,188434.0,환인제약,016580
2020-06-01,13850.0,상승  350,13800.0,14100.0,13700.0,89076.0,환인제약,016580
2020-06-02,14050.0,상승  200,13950.0,14150.0,13750.0,66504.0,환인제약,016580
2020-06-03,13950.0,하락  100,14150.0,14150.0,13850.0,45744.0,환인제약,016580
2020-06-04,13950.0,보합0,14100.0,14100.0,13750.0,69005.0,환인제약,016580
2020-06-05,14100.0,상승  150,14000.0,14200.0,13850.0,62862.0,환인제약,016580
2020-06-08,14200.0,상승  100,14250.0,14250.0,13950.0,88209.0,환인제약,016580
2020-06-09,14850.0,상승  650,14400.0,16600.0,14250.0,896665.0,환인제약,016580
2020-06-10,15700.0,상승  850,15000.0,16450.0,14850.0,512659.0,환인제약,016580
2020-06-11,15550.0,하락  150,15950.0,16300.0,15500.0,184701.0,환인제약,016580
2020-06-12,15300.0,하락  250,14700.0,15450.0,14500.0,153609.0,환인제약,016580
2020-06-15,14650.0,하락  650,15200.0,15750.0,14350.0,146530.0,환인제약,016580
2020-06-16,15100.0,상승  450,15000.0,15350.0,14800.0,133972.0,환인제약,016580
2020-06-17,15900.0,상승  800,15900.0,16550.0,15300.0,646948.0,환인제약,016580
2020-06-18,16000.0,상승  100,16350.0,16400.0,15900.0,222321.0,환인제약,016580
2020-06-19,15650.0,하락  350,16050.0,16050.0,15500.0,97233.0,환인제약,016580
2020-06-22,15250.0,하락  400,15500.0,15850.0,15150.0,70690.0,환인제약,016580
2020-06-23,15000.0,하락  250,15300.0,15650.0,14900.0,83091.0,환인제약,016580
2020-06-24,15150.0,상승  150,15050.0,15650.0,15050.0,88982.0,환인제약,016580
2020-06-25,14850.0,하락  300,14900.0,15150.0,14800.0,86760.0,환인제약,016580
2020-06-26,14800.0,하락  50,15050.0,15150.0,14650.0,63774.0,환인제약,016580
2020-06-29,14550.0,하락  250,14650.0,15000.0,14550.0,36783.0,환인제약,016580
2020-06-30,14400.0,하락  150,14650.0,14750.0,14350.0,70255.0,환인제약,016580
2020-07-01,14400.0,보합0,14450.0,14650.0,14350.0,30648.0,환인제약,016580
2020-07-02,14400.0,보합0,14400.0,14600.0,14300.0,61069.0,환인제약,016580
2020-07-03,14400.0,보합0,14400.0,14550.0,14000.0,77196.0,환인제약,016580
2020-07-06,14400.0,보합0,14400.0,14500.0,14250.0,58062.0,환인제약,016580
2020-07-07,14250.0,하락  150,14450.0,14450.0,14200.0,37125.0,환인제약,016580
2020-07-08,14700.0,상승  450,14250.0,14750.0,14250.0,50856.0,환인제약,016580
2020-07-09,14650.0,하락  50,14900.0,14900.0,14500.0,39576.0,환인제약,016580
2020-07-10,14200.0,하락  450,14700.0,14700.0,14050.0,92842.0,환인제약,016580
2020-07-13,14250.0,상승  50,14250.0,14300.0,14050.0,51293.0,환인제약,016580
2020-07-14,14750.0,상승  500,14300.0,15700.0,14150.0,477812.0,환인제약,016580
2020-07-15,14800.0,상승  50,14750.0,15100.0,14550.0,123846.0,환인제약,016580
2020-07-16,14350.0,하락  450,15050.0,15050.0,14300.0,100650.0,환인제약,016580
2020-07-17,14350.0,보합0,14350.0,14450.0,14250.0,53958.0,환인제약,016580
2020-07-20,14200.0,하락  150,14400.0,14400.0,14150.0,145210.0,환인제약,016580
2020-07-21,15050.0,상승  850,14350.0,15100.0,14250.0,206668.0,환인제약,016580
2020-07-22,15500.0,상승  450,15050.0,15500.0,14900.0,191091.0,환인제약,016580
2020-07-23,16050.0,상승  550,15450.0,16400.0,15100.0,547919.0,환인제약,016580
2020-07-24,16500.0,상승  450,16300.0,18600.0,16150.0,1060931.0,환인제약,016580
2020-07-27,16100.0,하락  400,16250.0,16300.0,15400.0,236579.0,환인제약,016580
2020-07-28,15550.0,하락  550,15950.0,16250.0,15400.0,136861.0,환인제약,016580
2020-07-29,15300.0,하락  250,15500.0,15650.0,15150.0,121460.0,환인제약,016580
2020-07-30,15150.0,하락  150,15350.0,15400.0,15000.0,81040.0,환인제약,016580
2020-07-31,15300.0,상승  150,15000.0,15350.0,15000.0,59990.0,환인제약,016580
2020-08-03,15550.0,상승  250,15750.0,15900.0,15400.0,121276.0,환인제약,016580
2020-08-04,16400.0,상승  850,15600.0,16450.0,15500.0,270371.0,환인제약,016580
2020-08-05,17000.0,상승  600,16650.0,17200.0,16150.0,336649.0,환인제약,016580
2020-08-06,16900.0,하락  100,17350.0,17400.0,16600.0,223881.0,환인제약,016580
2020-08-07,16300.0,하락  600,16900.0,16900.0,16050.0,196872.0,환인제약,016580
2020-08-10,16000.0,하락  300,16300.0,16550.0,15900.0,106503.0,환인제약,016580
2020-08-11,16050.0,상승  50,16100.0,16250.0,15850.0,93826.0,환인제약,016580
2020-08-12,15850.0,하락  200,16050.0,16150.0,15500.0,132404.0,환인제약,016580
2020-08-13,15600.0,하락  250,15950.0,16100.0,15600.0,76941.0,환인제약,016580
2020-08-14,15300.0,하락  300,15600.0,15800.0,15150.0,129000.0,환인제약,016580
2020-08-18,15000.0,하락  300,15250.0,15500.0,14950.0,196851.0,환인제약,016580
2020-08-19,15700.0,상승  700,15000.0,15900.0,15000.0,211761.0,환인제약,016580
2020-08-20,15200.0,하락  500,15650.0,15750.0,14950.0,155869.0,환인제약,016580
2020-08-21,15350.0,상승  150,15250.0,15600.0,15000.0,119342.0,환인제약,016580
2020-08-24,15600.0,상승  250,15350.0,15850.0,15150.0,80059.0,환인제약,016580
2020-08-25,15700.0,상승  100,15700.0,15750.0,15450.0,150618.0,환인제약,016580
2020-08-26,16000.0,상승  300,15750.0,16100.0,15550.0,151009.0,환인제약,016580
2020-08-27,15650.0,하락  350,16000.0,16250.0,15600.0,127403.0,환인제약,016580
2020-08-28,15950.0,상승  300,15700.0,16450.0,15650.0,228396.0,환인제약,016580
2020-08-31,15800.0,하락  150,16050.0,16250.0,15600.0,126329.0,환인제약,016580
2020-09-01,15500.0,하락  300,15850.0,15900.0,15400.0,106879.0,환인제약,016580
2020-09-02,16700.0,"상승  1,200",15600.0,16700.0,15600.0,351225.0,환인제약,016580
2020-09-03,16750.0,상승  50,17250.0,18200.0,16650.0,666622.0,환인제약,016580
2020-09-04,16400.0,하락  350,16250.0,16650.0,15950.0,185984.0,환인제약,016580
2020-09-07,17450.0,"상승  1,050",17100.0,18000.0,16750.0,679576.0,환인제약,016580
2020-09-08,16850.0,하락  600,17500.0,17950.0,16600.0,380673.0,환인제약,016580
2020-09-09,16650.0,하락  200,16450.0,16950.0,16400.0,129833.0,환인제약,016580
2020-09-10,16600.0,하락  50,16700.0,17200.0,16550.0,160159.0,환인제약,016580
2020-09-11,16600.0,보합0,16550.0,16650.0,16250.0,94761.0,환인제약,016580
2020-09-14,16600.0,보합0,16600.0,16800.0,16500.0,90714.0,환인제약,016580
2020-09-15,16550.0,하락  50,16600.0,16750.0,16200.0,104833.0,환인제약,016580
2020-09-16,16250.0,하락  300,16550.0,16900.0,16200.0,155016.0,환인제약,016580
2020-09-17,16100.0,하락  150,16300.0,16550.0,15900.0,127458.0,환인제약,016580
2020-09-18,15850.0,하락  250,16100.0,16100.0,15700.0,153658.0,환인제약,016580
2020-09-21,15800.0,하락  50,15950.0,16050.0,15600.0,151457.0,환인제약,016580
2020-09-22,15550.0,하락  250,15750.0,15800.0,15250.0,123218.0,환인제약,016580
2020-09-23,15250.0,하락  300,15650.0,15700.0,15050.0,81666.0,환인제약,016580
2020-09-24,14650.0,하락  600,15000.0,15000.0,14500.0,130207.0,환인제약,016580
2020-09-25,14650.0,보합0,14650.0,15600.0,14400.0,186250.0,환인제약,016580
2020-09-28,15100.0,상승  450,14900.0,15100.0,14650.0,59292.0,환인제약,016580
2020-09-29,15100.0,보합0,15200.0,15300.0,14900.0,85254.0,환인제약,016580
2020-10-05,15300.0,상승  200,15100.0,15400.0,15000.0,60315.0,환인제약,016580
2020-10-06,15200.0,하락  100,15350.0,15400.0,15050.0,59383.0,환인제약,016580
2020-10-07,15300.0,상승  100,15100.0,15450.0,15050.0,118426.0,환인제약,016580
2020-10-08,15450.0,상승  150,15350.0,15550.0,15300.0,96811.0,환인제약,016580
2020-10-12,15400.0,하락  50,15600.0,15600.0,15200.0,84955.0,환인제약,016580
2020-10-13,15400.0,보합0,15500.0,15500.0,15250.0,60641.0,환인제약,016580
2020-10-14,15150.0,하락  250,15350.0,15500.0,15150.0,75640.0,환인제약,016580
2020-10-15,14900.0,하락  250,15200.0,15250.0,14750.0,71320.0,환인제약,016580
2020-10-16,14900.0,보합0,14900.0,15050.0,14500.0,96456.0,환인제약,016580
2020-10-19,14800.0,하락  100,14850.0,15000.0,14750.0,51071.0,환인제약,016580
2020-10-20,14700.0,하락  100,14800.0,14800.0,14400.0,89389.0,환인제약,016580
2020-10-21,14700.0,보합0,14600.0,14900.0,14550.0,44219.0,환인제약,016580
2020-10-22,14800.0,상승  100,14750.0,14850.0,14600.0,29373.0,환인제약,016580
2020-10-23,14700.0,하락  100,14800.0,14850.0,14650.0,33853.0,환인제약,016580
2020-10-26,14400.0,하락  300,14800.0,14850.0,14400.0,78001.0,환인제약,016580
2020-10-27,14350.0,하락  50,14350.0,14550.0,14200.0,63039.0,환인제약,016580
2020-10-28,14450.0,상승  100,14350.0,14600.0,14300.0,35961.0,환인제약,016580
2020-10-29,14350.0,하락  100,14150.0,14350.0,14100.0,44484.0,환인제약,016580
2020-10-30,14450.0,상승  100,14350.0,14500.0,14200.0,54670.0,환인제약,016580
2020-11-02,14550.0,상승  100,14550.0,14700.0,14150.0,100215.0,환인제약,016580
2020-11-03,14800.0,상승  250,14650.0,14950.0,14550.0,113505.0,환인제약,016580
2020-11-04,14850.0,상승  50,14800.0,14950.0,14750.0,66548.0,환인제약,016580
2020-11-05,15200.0,상승  350,15000.0,15200.0,14850.0,127966.0,환인제약,016580
2020-11-06,14900.0,하락  300,15250.0,15300.0,14900.0,77039.0,환인제약,016580
2020-11-09,15000.0,상승  100,14900.0,15050.0,14900.0,82637.0,환인제약,016580
2020-11-10,14900.0,하락  100,15050.0,15050.0,14850.0,72467.0,환인제약,016580
2020-11-11,14850.0,하락  50,14850.0,14900.0,14700.0,118375.0,환인제약,016580
2020-11-12,14850.0,보합0,14850.0,15000.0,14750.0,81798.0,환인제약,016580
2020-11-13,14700.0,하락  150,14850.0,14900.0,14650.0,124030.0,환인제약,016580
2020-11-16,14700.0,보합0,14700.0,14900.0,14550.0,136671.0,환인제약,016580
2020-11-17,14500.0,하락  200,14750.0,14750.0,14450.0,161422.0,환인제약,016580
2020-11-18,14800.0,상승  300,14550.0,14850.0,14450.0,106315.0,환인제약,016580
2020-11-19,15400.0,상승  600,14750.0,15500.0,14700.0,414010.0,환인제약,016580
2020-11-20,15750.0,상승  350,15400.0,15750.0,15050.0,283883.0,환인제약,016580
2020-11-23,15700.0,하락  50,15850.0,15900.0,15450.0,135170.0,환인제약,016580
2020-11-24,15800.0,상승  100,15700.0,15800.0,15400.0,136056.0,환인제약,016580
2020-11-25,15350.0,하락  450,15700.0,15800.0,15250.0,135100.0,환인제약,016580
2020-11-26,15450.0,상승  100,15350.0,15600.0,15250.0,93477.0,환인제약,016580
2020-11-27,15650.0,상승  200,15600.0,15800.0,15500.0,150647.0,환인제약,016580
2020-11-30,16050.0,상승  400,15800.0,16250.0,15550.0,360988.0,환인제약,016580
2020-12-01,15800.0,하락  250,16000.0,16150.0,15650.0,112081.0,환인제약,016580
2020-12-02,15900.0,상승  100,16000.0,16200.0,15850.0,140204.0,환인제약,016580
2020-12-03,15900.0,보합0,15950.0,16150.0,15800.0,114993.0,환인제약,016580
2020-12-04,15550.0,하락  350,15800.0,15850.0,15450.0,194723.0,환인제약,016580
2020-12-07,16850.0,"상승  1,300",15550.0,17600.0,15400.0,1525839.0,환인제약,016580
2020-12-08,16500.0,하락  350,17100.0,17400.0,16150.0,720424.0,환인제약,016580
2020-12-09,16450.0,하락  50,16650.0,16750.0,16200.0,276819.0,환인제약,016580
2020-12-10,16300.0,하락  150,16450.0,16700.0,16200.0,181783.0,환인제약,016580
2020-12-11,16600.0,상승  300,16400.0,16850.0,16250.0,339673.0,환인제약,016580
2020-12-14,17400.0,상승  800,16700.0,17400.0,16450.0,536910.0,환인제약,016580
2020-12-15,17400.0,보합0,17700.0,17700.0,17000.0,417899.0,환인제약,016580
2020-12-16,17300.0,하락  100,17400.0,17500.0,16950.0,293055.0,환인제약,016580
2020-12-17,17200.0,하락  100,17450.0,17500.0,17000.0,152418.0,환인제약,016580
2020-12-18,17300.0,상승  100,17200.0,17350.0,16950.0,221176.0,환인제약,016580
2020-12-21,17800.0,상승  500,17350.0,18500.0,17150.0,943561.0,환인제약,016580
2020-12-22,17250.0,하락  550,17800.0,18050.0,17200.0,401438.0,환인제약,016580
2020-12-23,16800.0,하락  450,17500.0,17500.0,16650.0,271426.0,환인제약,016580
2020-12-24,16800.0,보합0,16850.0,17050.0,16650.0,172576.0,환인제약,016580
2020-12-28,16500.0,하락  300,16800.0,16800.0,16400.0,184479.0,환인제약,016580
2020-12-29,16600.0,상승  100,16350.0,16650.0,16350.0,146345.0,환인제약,016580
2020-12-30,16700.0,상승  100,16650.0,16850.0,16450.0,133098.0,환인제약,016580
2021-01-04,16550.0,하락  150,16900.0,16950.0,16400.0,165341.0,환인제약,016580
2021-01-05,16500.0,하락  50,16450.0,16550.0,16000.0,214739.0,환인제약,016580
2021-01-06,16650.0,상승  150,16500.0,16800.0,16400.0,155724.0,환인제약,016580
2021-01-07,16600.0,하락  50,16850.0,16900.0,16450.0,165776.0,환인제약,016580
2021-01-08,16750.0,상승  150,16600.0,16800.0,16250.0,234497.0,환인제약,016580
2021-01-11,17300.0,상승  550,17000.0,17500.0,16500.0,703520.0,환인제약,016580
2021-01-12,17450.0,상승  150,17650.0,18150.0,17100.0,697479.0,환인제약,016580
2021-01-13,17350.0,하락  100,17900.0,18000.0,17250.0,223722.0,환인제약,016580
2021-01-14,18500.0,"상승  1,150",17400.0,18500.0,17400.0,733695.0,환인제약,016580
2021-01-15,17900.0,하락  600,18450.0,18500.0,17650.0,391762.0,환인제약,016580
2021-01-18,17150.0,하락  750,17600.0,17650.0,17100.0,205258.0,환인제약,016580
2021-01-19,17350.0,상승  200,17200.0,17450.0,17050.0,143559.0,환인제약,016580
2021-01-20,17600.0,상승  250,17550.0,17750.0,17350.0,203641.0,환인제약,016580
2021-01-21,17950.0,상승  350,17800.0,18200.0,17650.0,272143.0,환인제약,016580
2021-01-22,17650.0,하락  300,18000.0,18100.0,17550.0,135529.0,환인제약,016580
2021-01-25,18050.0,상승  400,17950.0,18200.0,17750.0,277374.0,환인제약,016580
2021-01-26,18550.0,상승  500,18900.0,19450.0,18350.0,868864.0,환인제약,016580
2021-01-27,19100.0,상승  550,19100.0,19450.0,18800.0,536659.0,환인제약,016580
2021-01-28,19450.0,상승  350,18800.0,19850.0,18600.0,532790.0,환인제약,016580
2021-01-29,18350.0,"하락  1,100",19650.0,19700.0,18050.0,452272.0,환인제약,016580
2021-02-01,18600.0,상승  250,18200.0,18700.0,17850.0,265763.0,환인제약,016580
2021-02-02,18550.0,하락  50,18800.0,18850.0,18300.0,167590.0,환인제약,016580
2021-02-03,18700.0,상승  150,18550.0,18800.0,18300.0,175466.0,환인제약,016580
2021-02-04,18700.0,보합0,18650.0,18900.0,18300.0,144916.0,환인제약,016580
2021-02-05,18400.0,하락  300,18700.0,18700.0,18300.0,105126.0,환인제약,016580
2021-02-08,18350.0,하락  50,18400.0,18550.0,18000.0,183653.0,환인제약,016580
2021-02-09,18200.0,하락  150,18850.0,18850.0,18200.0,147723.0,환인제약,016580
2021-02-10,18950.0,상승  750,18550.0,19200.0,18450.0,549405.0,환인제약,016580
2021-02-15,20350.0,"상승  1,400",19550.0,20350.0,19350.0,1104072.0,환인제약,016580
2021-02-16,20200.0,하락  150,20500.0,20650.0,19850.0,485149.0,환인제약,016580
2021-02-17,20300.0,상승  100,20250.0,20550.0,19800.0,322546.0,환인제약,016580
2021-02-18,20150.0,하락  150,20300.0,20550.0,20050.0,229556.0,환인제약,016580
2021-02-19,20100.0,하락  50,20050.0,20300.0,19450.0,245971.0,환인제약,016580
2021-02-22,19950.0,하락  150,20050.0,20300.0,19700.0,187107.0,환인제약,016580
2021-02-23,19900.0,하락  50,19750.0,20100.0,19200.0,240264.0,환인제약,016580
2021-02-24,18900.0,"하락  1,000",19800.0,20000.0,18900.0,284766.0,환인제약,016580
2021-02-25,19500.0,상승  600,19300.0,19650.0,19050.0,160196.0,환인제약,016580
2021-02-26,19100.0,하락  400,19000.0,19600.0,18900.0,167765.0,환인제약,016580
2021-03-02,19350.0,상승  250,19500.0,19700.0,19100.0,172069.0,환인제약,016580
2021-03-03,19500.0,상승  150,19350.0,19550.0,19200.0,100682.0,환인제약,016580
2021-03-04,19200.0,하락  300,19300.0,19400.0,19100.0,88165.0,환인제약,016580
2021-03-05,19400.0,상승  200,19000.0,19500.0,18800.0,113075.0,환인제약,016580
2021-03-08,18700.0,하락  700,19500.0,19550.0,18700.0,168922.0,환인제약,016580
2021-03-09,18000.0,하락  700,18550.0,18600.0,17900.0,188930.0,환인제약,016580
2021-03-10,17400.0,하락  600,18200.0,18250.0,17300.0,169305.0,환인제약,016580
2021-03-11,17850.0,상승  450,17400.0,17850.0,17300.0,125312.0,환인제약,016580
2021-03-12,18100.0,상승  250,17950.0,18300.0,17700.0,127688.0,환인제약,016580
2021-03-15,18250.0,상승  150,18100.0,18350.0,17850.0,75369.0,환인제약,016580
2021-03-16,18300.0,상승  50,18300.0,18350.0,18100.0,71782.0,환인제약,016580
2021-03-17,18100.0,하락  200,18300.0,18350.0,18050.0,51009.0,환인제약,016580
2021-03-18,18250.0,상승  150,18150.0,18450.0,18100.0,61800.0,환인제약,016580
2021-03-19,18150.0,하락  100,18100.0,18150.0,17950.0,49059.0,환인제약,016580
2021-03-22,18000.0,하락  150,18150.0,18150.0,17850.0,68686.0,환인제약,016580
2021-03-23,18050.0,상승  50,18100.0,18300.0,17850.0,86163.0,환인제약,016580
2021-03-24,18300.0,상승  250,17950.0,18300.0,17800.0,79574.0,환인제약,016580
2021-03-25,18250.0,하락  50,18250.0,18350.0,18050.0,39759.0,환인제약,016580
2021-03-26,18250.0,보합0,18300.0,18400.0,18100.0,58587.0,환인제약,016580
2021-03-29,17950.0,하락  300,18150.0,18250.0,17950.0,66188.0,환인제약,016580
2021-03-30,18100.0,상승  150,18000.0,18350.0,17950.0,38050.0,환인제약,016580
2021-03-31,18000.0,하락  100,18050.0,18200.0,17950.0,58634.0,환인제약,016580
2021-04-01,18100.0,상승  100,18100.0,18150.0,18000.0,32396.0,환인제약,016580
2021-04-02,18050.0,하락  50,18250.0,18250.0,18000.0,53322.0,환인제약,016580
2021-04-05,18000.0,하락  50,18050.0,18200.0,17900.0,74537.0,환인제약,016580
2021-04-06,17950.0,하락  50,18050.0,18100.0,17850.0,60696.0,환인제약,016580
2021-04-07,18350.0,상승  400,18100.0,18400.0,17800.0,139764.0,환인제약,016580
2021-04-08,18400.0,상승  50,18550.0,18550.0,18200.0,113541.0,환인제약,016580
2021-04-09,18350.0,하락  50,18400.0,18550.0,18300.0,74246.0,환인제약,016580
2021-04-12,18250.0,하락  100,18450.0,18450.0,18050.0,99862.0,환인제약,016580
2021-04-13,19000.0,상승  750,18300.0,19000.0,18300.0,199784.0,환인제약,016580
2021-04-14,19000.0,보합0,19000.0,19050.0,18750.0,109715.0,환인제약,016580
2021-04-15,19300.0,상승  300,19000.0,19450.0,18800.0,173099.0,환인제약,016580
2021-04-16,19400.0,상승  100,19400.0,19600.0,19000.0,343232.0,환인제약,016580
2021-04-19,19900.0,상승  500,21850.0,22400.0,19750.0,2302778.0,환인제약,016580
2021-04-20,19450.0,하락  450,19900.0,19950.0,19400.0,295303.0,환인제약,016580
2021-04-21,19350.0,하락  100,19550.0,20000.0,19250.0,349968.0,환인제약,016580
2021-04-22,19500.0,상승  150,19450.0,19600.0,19300.0,177506.0,환인제약,016580
2021-04-23,19200.0,하락  300,19400.0,19550.0,19150.0,167830.0,환인제약,016580
2021-04-26,19650.0,상승  450,19250.0,19700.0,19150.0,200501.0,환인제약,016580
2021-04-27,20200.0,상승  550,19900.0,20550.0,19800.0,448110.0,환인제약,016580
2021-04-28,21100.0,상승  900,20200.0,22050.0,19950.0,975498.0,환인제약,016580
2021-04-29,21050.0,하락  50,21050.0,21250.0,20400.0,284974.0,환인제약,016580
2021-04-30,20950.0,하락  100,21300.0,21450.0,20700.0,183931.0,환인제약,016580
2021-05-03,20250.0,하락  700,21050.0,21050.0,20200.0,136789.0,환인제약,016580
2021-05-04,20000.0,하락  250,20200.0,20350.0,19650.0,159541.0,환인제약,016580
2021-05-06,20300.0,상승  300,19850.0,20450.0,19850.0,80174.0,환인제약,016580
2021-05-07,20750.0,상승  450,20450.0,20850.0,20300.0,142391.0,환인제약,016580
2021-05-10,20900.0,상승  150,20900.0,21100.0,20450.0,143221.0,환인제약,016580
2021-05-11,21000.0,상승  100,20700.0,21050.0,20400.0,158574.0,환인제약,016580
2021-05-12,20600.0,하락  400,20950.0,21050.0,20500.0,134706.0,환인제약,016580
2021-05-13,20600.0,보합0,20400.0,20750.0,20100.0,110832.0,환인제약,016580
2021-05-14,20950.0,상승  350,20600.0,21050.0,20550.0,124104.0,환인제약,016580
2021-05-17,21000.0,상승  50,21150.0,21150.0,20700.0,132701.0,환인제약,016580
2021-05-18,21050.0,상승  50,21000.0,21150.0,20800.0,71065.0,환인제약,016580
2021-05-20,21550.0,상승  500,21000.0,21800.0,20900.0,275139.0,환인제약,016580
2021-05-21,21350.0,하락  200,21700.0,21800.0,21150.0,127524.0,환인제약,016580
2021-05-24,20550.0,하락  800,21150.0,21300.0,20550.0,149314.0,환인제약,016580
2021-05-25,20550.0,보합0,20550.0,20750.0,20350.0,59243.0,환인제약,016580
2021-05-26,20850.0,상승  300,20550.0,20950.0,20500.0,72803.0,환인제약,016580
2021-05-27,21100.0,상승  250,21000.0,21300.0,20700.0,90134.0,환인제약,016580
2021-05-28,21100.0,보합0,21200.0,21600.0,21100.0,126795.0,환인제약,016580
2021-05-31,21900.0,상승  800,21600.0,22150.0,21450.0,246195.0,환인제약,016580
2021-06-01,22050.0,상승  150,22100.0,22400.0,21800.0,231998.0,환인제약,016580
2021-06-02,22050.0,보합0,22150.0,22200.0,21500.0,227660.0,환인제약,016580
2021-06-03,22000.0,하락  50,22100.0,22150.0,21800.0,112210.0,환인제약,016580
2021-06-04,21950.0,하락  50,21900.0,22050.0,21650.0,70581.0,환인제약,016580
2021-06-07,21900.0,하락  50,22150.0,22150.0,21850.0,70872.0,환인제약,016580
2021-06-08,21750.0,하락  150,22400.0,23400.0,21750.0,459993.0,환인제약,016580
2021-06-09,21450.0,하락  300,21800.0,22000.0,21350.0,113685.0,환인제약,016580
2021-06-10,21900.0,상승  450,21450.0,22000.0,21250.0,127608.0,환인제약,016580
2021-06-11,21900.0,보합0,22050.0,22100.0,21750.0,70443.0,환인제약,016580
2021-06-14,22000.0,상승  100,22000.0,22150.0,21900.0,89174.0,환인제약,016580
